src,dst,messages_sent,messages_received,messages_total,contribution_index
venividivici004,venividivici004,1,1,2,0.0
vic_rav,vic_rav,1,1,2,0.0
vinhluu66704947,vinhluu66704947,1,1,2,0.0
whuollyhx,ss34512,0,1,1,-1.0
wortmonger,wortmonger,1,1,2,0.0
6hkmotvc0qktbkj,6hkmotvc0qktbkj,1,1,2,0.0
abahnyaafnan,abahnyaafnan,1,1,2,0.0
ahmetkoyuncu018,ahmetkoyuncu018,1,1,2,0.0
amselluv,amselluv,1,1,2,0.0
antcr3,antcr3,1,1,2,0.0
aruberuto_,barri26,1,0,1,1.0
ayitvhaber,ayitvhaber,1,1,2,0.0
bboo_art,bboo_art,1,1,2,0.0
beelassa,beelassa,1,1,2,0.0
berbati333,berbati333,1,1,2,0.0
bigwinlhova,bigwinlhova,1,1,2,0.0
btc_fx_100,btc_fx_100,1,1,2,0.0
btcstackr,btcstackr,1,1,2,0.0
btcstreetart,sovereignty_btc,0,1,1,-1.0
byemiek1,byemiek1,1,1,2,0.0
bzm84413132,bzm84413132,1,1,2,0.0
casitrades,maximexrp,1,0,1,1.0
cheseewin,cheseewin,1,1,2,0.0
coudronmattias,cjsodirty,1,0,1,1.0
crypto_mxrgan,crypto_mxrgan,1,1,2,0.0
cryptobeck,cryptobeck,1,1,2,0.0
cryptomekaab,cryptomekaab,1,1,2,0.0
daorangearmy,simplyheres,1,1,2,0.0
disspromoacc,disspromoacc,1,1,2,0.0
dlorahzz,dlorahzz,3,3,6,0.0
dol4rcityx,dol4rcityx,1,1,2,0.0
dua3pzswzybthny,dua3pzswzybthny,1,1,2,0.0
eeacdc,eeacdc,1,1,2,0.0
enochuwa20,ibehsuccess2,0,1,1,-1.0
esesliyy,esesliyy,5,5,10,0.0
frncscjeonjk,frncscjeonjk,1,1,2,0.0
frslww,frslww,1,1,2,0.0
fu9ksrgarnerxfi,fu9ksrgarnerxfi,1,1,2,0.0
grovestor,grovestor,1,1,2,0.0
iecryptotrading,iecryptotrading,1,1,2,0.0
insomfx,insomfx,2,2,4,0.0
iveenha,iveenha,1,1,2,0.0
jtheretohelp1,sn77874911,0,1,1,-1.0
kaburangerover,fxexness2000,0,1,1,-1.0
kadirkunduraci,kadirkunduraci,1,1,2,0.0
kirazyiyelim,kirazyiyelim,1,1,2,0.0
kopemanuek,kopemanuek,2,2,4,0.0
ladyzai,ladyzai,1,1,2,0.0
liam01494354,liam01494354,1,1,2,0.0
makinufit,darrinlewisjr,1,0,1,1.0
markus_tpr,markus_tpr,1,1,2,0.0
mesutka78500234,mesutka78500234,1,1,2,0.0
mr6hpdtfic8hrpk,mr6hpdtfic8hrpk,1,1,2,0.0
mutlugazel,mutlugazel,1,1,2,0.0
narabigwin,narabigwin,1,1,2,0.0
nardiloris,nardiloris,1,1,2,0.0
neon93239197,neon93239197,3,3,6,0.0
nft19ram0n,erayylm77619944,0,1,1,-1.0
nftloverchad,nftloverchad,2,2,4,0.0
ootoro_2nd,ootoro_2nd,1,1,2,0.0
realsharkcove,realsharkcove,1,1,2,0.0
rjc0003,rjc0003,1,1,2,0.0
sekapot7,sekapot7,3,3,6,0.0
smartgames17,smartgames17,1,1,2,0.0
suzanegeli2,suzanegeli2,1,1,2,0.0
tekmillettr1,tekmillettr1,1,1,2,0.0
the_vihang,the_vihang,2,2,4,0.0
theserenation,theserenation,1,1,2,0.0
thomas_tltt,thomas_tltt,1,1,2,0.0
yeni_coinler,yeni_coinler,1,1,2,0.0
3bdudes,3bdudes,1,1,2,0.0
7ja9n,7ja9n,1,1,2,0.0
_geonic,_geonic,1,1,2,0.0
aaronlbond007,aaronlbond007,1,1,2,0.0
abolfazlyouse18,abolfazlyouse18,1,1,2,0.0
alexandrudoven2,alexandrudoven2,2,2,4,0.0
anzireael,anzireael,3,3,6,0.0
atmaca_1907,atmaca_1907,1,1,2,0.0
balloondropnft,balloondropnft,1,1,2,0.0
bangtanieszxc_,bangtanieszxc_,1,1,2,0.0
bellbrand,fat32_eth,0,1,1,-1.0
borjasalfonso,borjasalfonso,1,1,2,0.0
boycrypto3,boycrypto3,1,1,2,0.0
btc_passo_passo,btc_passo_passo,3,3,6,0.0
cashless02,cyber_gorillas,1,0,1,1.0
celflowers,celflowers,2,2,4,0.0
chali_do,chali_do,1,1,2,0.0
citycrypto1,citycrypto1,2,2,4,0.0
cityxcyyou,cityxcyyou,1,1,2,0.0
condespanos,condespanos,1,1,2,0.0
cowrycrypto,cowrycrypto,1,1,2,0.0
danghoa75238088,danghoa75238088,1,1,2,0.0
datoeconomia,datoeconomia,1,1,2,0.0
denis63500094,denis63500094,1,1,2,0.0
don_macheda,don_macheda,1,1,2,0.0
dshorty81,dshorty81,1,1,2,0.0
erik51739198,erik51739198,1,1,2,0.0
ezcaron,ezcaron,1,1,2,0.0
farmdart,farmdart,1,1,2,0.0
gyxsdhj8uokargo,gyxsdhj8uokargo,1,1,2,0.0
hasan32515374,hasan32515374,1,1,2,0.0
hayaletsev41,hayaletsev41,5,5,10,0.0
ibrahimucar9,ibrahimucar9,1,1,2,0.0
jonathanuosman,funontheride,1,0,1,1.0
kintsugi_btc,kintsugi_btc,1,1,2,0.0
kthcityxx,kthcityxx,1,1,2,0.0
lalachitax,lalachitax,1,1,2,0.0
latchprime,latchprime,1,1,2,0.0
maheshk96276341,maheshk96276341,1,1,2,0.0
mehmet62519452,mehmet62519452,1,1,2,0.0
michishirube123,michishirube123,1,1,2,0.0
nalanevik4,nalanevik4,1,1,2,0.0
nekuronek,nekuronek,1,1,2,0.0
phonlapata,phonlapata,2,2,4,0.0
rahmamo24308764,rahmamo24308764,1,1,2,0.0
ramprakashtriv3,ramprakashtriv3,1,1,2,0.0
ray_nowhere,ray_nowhere,1,1,2,0.0
rocket_sign,rocket_sign,1,1,2,0.0
rubeen05,rubeen05,1,1,2,0.0
salehisahar5,zenobiwonglab,1,0,1,1.0
samuelsalcedo33,samuelsalcedo33,1,1,2,0.0
santosa18011732,santosa18011732,1,1,2,0.0
shootossb,bbimboula,0,1,1,-1.0
sparrowwallet,sparrowwallet,1,1,2,0.0
sunkanmicoker,sunkanmicoker,1,1,2,0.0
tangleseadefi,excessflame,0,1,1,-1.0
tictoctick,liberty4mankind,0,1,1,-1.0
tigrayyouthntwk,hilina_araya,0,1,1,-1.0
timefreedomrob,hernost,0,1,1,-1.0
wikirichi1,wikirichi1,2,2,4,0.0
yasero_thfc,yasero_thfc,1,1,2,0.0
ykellyhl18,ykellyhl18,1,1,2,0.0
____________mo,____________mo,1,1,2,0.0
a_rahman0182,a_rahman0182,1,1,2,0.0
abdulb4ki,abdulb4ki,1,1,2,0.0
aireenature,aireenature,1,1,2,0.0
akncgen1,akncgen1,1,1,2,0.0
