src,dst,messages_sent,messages_received,messages_total,contribution_index
ilkyarb,ilkyarb,1,1,2,0.0
inshallahbigwin,inshallahbigwin,1,1,2,0.0
ismail_glu,ismail_glu,1,1,2,0.0
j_kdrummer,j_kdrummer,2,2,4,0.0
jarabe_dpalo,jarabe_dpalo,1,1,2,0.0
jmafw,jmafw,1,1,2,0.0
kazuhir59795420,kazuhir59795420,2,2,4,0.0
kotorcoin,kotorcoin,1,1,2,0.0
krissydom,d_delphinidae,1,0,1,1.0
lilinference,lilinference,1,1,2,0.0
lucca2309,lucca2309,1,1,2,0.0
machixo,felizbrokemas,0,1,1,-1.0
manouk988,citadellecrypto,1,0,1,1.0
mike01678989,mike01678989,1,1,2,0.0
ob_eth,ob_eth,1,1,2,0.0
premmalav4,premmalav4,1,1,2,0.0
rafa18439448,rafa18439448,1,1,2,0.0
rtcanatoliy,rtcanatoliy,1,1,2,0.0
scooter453756,scooter453756,1,1,2,0.0
shokouf81482590,shokouf81482590,2,2,4,0.0
singaporedegen,singaporedegen,1,1,2,0.0
smhc1905,smhc1905,1,1,2,0.0
solo__moon,solo__moon,2,2,4,0.0
sportsnscouk,sportsnscouk,2,2,4,0.0
thresholde,thresholde,1,1,2,0.0
tylerostheimer,tylerostheimer,1,1,2,0.0
uthsob8,uthsob8,1,1,2,0.0
whynot1246,whynot1246,1,1,2,0.0
winter_eth,winter_eth,2,2,4,0.0
wynhy688,yxj197810,1,0,1,1.0
xeno_kin,xeno_kin,3,3,6,0.0
yorulmazlida,yorulmazlida,1,1,2,0.0
zaidalhmoudi,zaidalhmoudi,1,1,2,0.0
1mahmutib,smldmn3,1,2,3,-0.33
2686_pxx,2686_pxx,2,2,4,0.0
61mertkan616,61mertkan616,1,1,2,0.0
alpuganselale,alpuganselale,1,1,2,0.0
always_tvxq,always_tvxq,1,1,2,0.0
bademici_,bademici_,1,1,2,0.0
bitcoin__dragon,bitcoin__dragon,1,1,2,0.0
carolin37404384,carolin37404384,1,1,2,0.0
critchor,critchor,1,1,2,0.0
digitalhaozi,slewcitynft,1,0,1,1.0
efeumut09,efeumut09,2,2,4,0.0
excessflame,tangleswape,1,0,1,1.0
hb_hayati,hb_hayati,1,1,2,0.0
hr_crackto,hr_crackto,1,1,2,0.0
idam_mui,idam_mui,1,1,2,0.0
joss_do_it_btc,joss_do_it_btc,2,2,4,0.0
jvxe6vsioyk6tn1,jvxe6vsioyk6tn1,2,2,4,0.0
karamsatite,karamsatite,1,1,2,0.0
katuya15302890,katuya15302890,1,1,2,0.0
khim_0420,khim_0420,1,1,2,0.0
lupaopao123,lupaopao123,1,1,2,0.0
lupin1the9third,lupin1the9third,1,1,2,0.0
marsseela,marsseela,1,1,2,0.0
maxakito_,mermaofelix,1,0,1,1.0
mission_shige,ogaj0,0,1,1,-1.0
mohamed54369233,mohamed54369233,1,1,2,0.0
mohammad78gh,mohammad78gh,2,2,4,0.0
moneysavvylady,moneysavvylady,1,1,2,0.0
myglorya_,myglorya_,1,1,2,0.0
nbecker84,nbecker84,1,1,2,0.0
nhtnts7iqkm28au,nhtnts7iqkm28au,1,1,2,0.0
onnanobambi,onnanobambi,1,1,2,0.0
paradox68772446,paradox68772446,1,1,2,0.0
percebeiro4,percebeiro4,1,1,2,0.0
pvffmarkly,pvffmarkly,2,2,4,0.0
ragnamikoviva,ragnamikoviva,1,1,2,0.0
randomhouse,pepe_btc,0,1,1,-1.0
rsh73941770,rsh73941770,1,1,2,0.0
sabanyavuz3,sabanyavuz3,1,1,2,0.0
sc_sucesso,sc_sucesso,1,1,2,0.0
shortblake3,shortblake3,1,1,2,0.0
shu7774,shu7774,2,2,4,0.0
srfngaot,ghostprecog,0,1,1,-1.0
stillbili,stillbili,1,1,2,0.0
tgyunite,tgyunite,1,1,2,0.0
theironb4t,theironb4t,1,1,2,0.0
twfromme,twfromme,1,1,2,0.0
vethorvendetta,vethorvendetta,1,1,2,0.0
vmax1200hm,vmax1200hm,2,2,4,0.0
xland26,xland26,1,1,2,0.0
xuanqix,xuanqix,1,1,2,0.0
y8pn2vqk0ekyoiz,y8pn2vqk0ekyoiz,1,1,2,0.0
00_blackdiamond,00_blackdiamond,2,2,4,0.0
27693e,27693e,1,1,2,0.0
321bitcoin,getumbrel,1,0,1,1.0
_worthycrown,_worthycrown,1,1,2,0.0
abdullah_6minor,abdullah_6minor,1,1,2,0.0
adebunmiwaris,adebunmiwaris,1,1,2,0.0
altcoinfiyatlar,altcoinfiyatlar,1,1,2,0.0
andriy_zilli,andriy_zilli,1,1,2,0.0
aruberuto_,aruberuto_,2,2,4,0.0
at844509,metamskhelp,1,0,1,1.0
benjami0926,benjami0926,1,1,2,0.0
bitcoingerardo,bitcoingerardo,1,1,2,0.0
citadellecrypto,cryptoflink,1,0,1,1.0
duartejusuf,duartejusuf,1,1,2,0.0
eger_ki0,eger_ki0,1,1,2,0.0
ekursatt,ekursatt,1,1,2,0.0
es12828070,es12828070,1,1,2,0.0
fgr32113113,fgr32113113,1,1,2,0.0
gamerdrmcityx,gamerdrmcityx,1,1,2,0.0
isfreenow,isfreenow,1,1,2,0.0
jennadeea2000,jennadeea2000,1,1,2,0.0
jutheki,jutheki,1,1,2,0.0
luvtoken2,valor_world,1,0,1,1.0
makinufit,makinufit,1,1,2,0.0
mallardshead,mallardshead,1,1,2,0.0
marcopoloc2,marcopoloc2,1,1,2,0.0
maxsnakes,maxsnakes,2,2,4,0.0
merymerysnow6,pomelicon,1,0,1,1.0
mhyesdnr1r9uty7,mhyesdnr1r9uty7,1,1,2,0.0
money2021stock,money2021stock,1,1,2,0.0
must_reborn,must_reborn,2,2,4,0.0
mutiatifa,mutiatifa,1,1,2,0.0
nftcryptobush,nftcryptobush,1,1,2,0.0
nichieescoban,traderhankhill,1,0,1,1.0
officialabq,seanmmitchell,1,0,1,1.0
pakosalvahotma1,pakosalvahotma1,1,1,2,0.0
pashankara,pashankara,2,2,4,0.0
paulwilsonimage,paulwilsonimage,1,1,2,0.0
printwettt20,printwettt20,2,2,4,0.0
qmestrada,qmestrada,1,1,2,0.0
robywez83,robywez83,1,1,2,0.0
sevdabaolu2,sevdabaolu2,1,1,2,0.0
shellafloranee,shellafloranee,1,1,2,0.0
standard_ui,standard_ui,1,1,2,0.0
steezeman420,steezeman420,1,1,2,0.0
takecyan01,takecyan01,2,2,4,0.0
ts20200801,ts20200801,3,3,6,0.0
tuncayncl7,tuncayncl7,1,1,2,0.0
whynot_btc,pamukkalesever,1,0,1,1.0
wjckja2cb3mh1od,wjckja2cb3mh1od,1,1,2,0.0
yasharhzm,yasharhzm,1,1,2,0.0
7qszzgy9eotfbny,7qszzgy9eotfbny,1,1,2,0.0
_yassiir,_yassiir,1,1,2,0.0
adelegan_s,adelegan_s,1,1,2,0.0
adelettohero,adelettohero,1,1,2,0.0
akun_mujur,akun_mujur,1,1,2,0.0
alfobijoe,ghostprecog,0,1,1,-1.0
atra_akortta26,atra_akortta26,1,1,2,0.0
boutiqueleclub,boutiqueleclub,1,1,2,0.0
businesss07,businesss07,2,2,4,0.0
chevroletcama16,chevroletcama16,1,1,2,0.0
cryptobullsh1,mangofarmassets,1,0,1,1.0
dekfarhan22,dekfarhan22,3,3,6,0.0
dlwrmajjang,dlwrmajjang,1,1,2,0.0
emboz74,emboz74,1,1,2,0.0
erdincsilahtar,erdincsilahtar,1,1,2,0.0
fernandohrom,fernandohrom,1,1,2,0.0
gonuldemirkm,ntunc12,1,0,1,1.0
heimrichrene,heimrichrene,2,2,4,0.0
humeyrayuncu,humeyrayuncu,2,2,4,0.0
huynguyen2409,huynguyen2409,1,1,2,0.0
janklan2,sn77874911,1,0,1,1.0
jeamcity_,jeamcity_,1,1,2,0.0
jithurnair3,jithurnair3,1,1,2,0.0
joyokarto_cityx,joyokarto_cityx,1,1,2,0.0
kkth_30,kkth_30,1,1,2,0.0
lcoinbtc,eight838536825,0,1,1,-1.0
lghtyx,lghtyx,1,1,2,0.0
ltfemre1emre,ltfemre1emre,1,1,2,0.0
luckydaebakx,luckydaebakx,1,1,2,0.0
lucy24284754,lucy24284754,1,1,2,0.0
malcorn4343,malcorn4343,1,1,2,0.0
maybeoneday011,maybeoneday011,1,1,2,0.0
memere_1009,memere_1009,1,1,2,0.0
mideeeeeeee,mideeeeeeee,1,1,2,0.0
milesbeckler,milesbeckler,1,1,2,0.0
mkcmkccc,mkcmkccc,1,1,2,0.0
mr_abrakadabra,mr_abrakadabra,1,1,2,0.0
ntv,ntv,2,2,4,0.0
nueajan,raflael0,1,0,1,1.0
o_dnn_kmsnn,o_dnn_kmsnn,1,1,2,0.0
piratestocks100,piratestocks100,1,1,2,0.0
plasma4_u,plasma4_u,1,1,2,0.0
rakefend,rakefend,1,1,2,0.0
roguepotatox,roguepotatox,1,1,2,0.0
semetlerknight,semetlerknight,1,1,2,0.0
shelleyk73,krissydom,0,1,1,-1.0
snsky_pool,snsky_pool,1,1,2,0.0
soleilucreisia,soleilucreisia,1,1,2,0.0
take_me_2d_moon,take_me_2d_moon,1,1,2,0.0
thearti39097790,rbryer23,1,0,1,1.0
tiwaycityxx,tiwaycityxx,1,1,2,0.0
torrocrypto,torrocrypto,1,1,2,0.0
70gxea0xyjdchae,70gxea0xyjdchae,1,1,2,0.0
aabericityx,aabericityx,1,1,2,0.0
adaldds,adaldds,1,1,2,0.0
alanra__,angelramos_503,1,0,1,1.0
alireza1541,alireza1541,1,1,2,0.0
ararasimp,ararasimp,1,1,2,0.0
at844509,at844509,1,1,2,0.0
atakolceylinaz,atakolceylinaz,1,1,2,0.0
azad91598144,azad91598144,1,1,2,0.0
azizazizi230,azizazizi230,1,1,2,0.0
barri26,aruberuto_,0,1,1,-1.0
chandesu888,chandesu888,1,1,2,0.0
chayanonj,chayanonj,1,1,2,0.0
cibi_1453,cibi_1453,1,1,2,0.0
cingageungmilik,cingageungmilik,1,1,2,0.0
cryptobardestin,red1gfx,1,0,1,1.0
d33zbits,passerby696,0,1,1,-1.0
dixarth,dixarth,1,1,2,0.0
ferys1422020,ferys1422020,1,1,2,0.0
freshmachiato,freshmachiato,1,1,2,0.0
giulio_ngo,giulio_ngo,1,1,2,0.0
glgnltaphd1,glgnltaphd1,1,1,2,0.0
hope_alg,muhtdi__,0,1,1,-1.0
janetmohr17,janetmohr17,1,1,2,0.0
jjaehyunganteng,jjaehyunganteng,1,1,2,0.0
julius_chinwe,julius_chinwe,1,1,2,0.0
leosjae,leosjae,1,1,2,0.0
mariefergurson,mariefergurson,1,1,2,0.0
mayumayurii,mayumayurii,1,1,2,0.0
mdagli2003,mdagli2003,1,1,2,0.0
miyosin0888,miyosin0888,1,1,2,0.0
mmaiic,pattomotto,1,0,1,1.0
mrpopopo,mrpopopo,1,1,2,0.0
ms_intrepid,ms_intrepid,1,1,2,0.0
muzzymehmet1,muzzymehmet1,1,1,2,0.0
oompalompa6,oompalompa6,1,1,2,0.0
orgejorg,orgejorg,1,1,2,0.0
osg101,osg101,1,1,2,0.0
phodl1,phodl1,2,2,4,0.0
playmining_sg,audymarroxas,0,1,1,-1.0
prapaprapaprapa,prapaprapaprapa,1,1,2,0.0
rakeshk04155221,rakeshk04155221,1,1,2,0.0
raphael_uzoechi,raphael_uzoechi,1,1,2,0.0
raretoshi,westcoast_skins,0,1,1,-1.0
riyousyaru,riyousyaru,1,1,2,0.0
rr022514,rr022514,1,1,2,0.0
ruzgar88888,evikahin1,0,1,1,-1.0
shonjustin112,shonjustin112,1,1,2,0.0
spyrosnik26,spyrosnik26,1,1,2,0.0
tedikusx,binance_chainn,1,0,1,1.0
tony_1413,tony_1413,1,1,2,0.0
tugay22389250,tugay22389250,1,1,2,0.0
valor_world,theoggish,0,1,1,-1.0
yurise192000,yurise192000,1,1,2,0.0
23selchuk,23selchuk,1,1,2,0.0
_theadewale,_theadewale,1,1,2,0.0
alibilalsindhi,alibilalsindhi,1,1,2,0.0
ayarehsaeed,ayarehsaeed,1,1,2,0.0
ayowinlh,ayowinlh,1,1,2,0.0
bigwindaa26,bigwindaa26,1,1,2,0.0
blokbokolog,acakiralar,0,1,1,-1.0
cnyaknn,cnyaknn,1,1,2,0.0
cryptodesignnft,cryptodesignnft,1,1,2,0.0
davidsmith557,davidsmith557,1,1,2,0.0
docent992,docent992,1,1,2,0.0
edwinha16207950,edwinha16207950,1,1,2,0.0
emrah2606,emrah2606,1,1,2,0.0
fallen_enterart,fallen_enterart,3,3,6,0.0
grok_king,grok_king,1,1,2,0.0
helisuh45,helisuh45,1,1,2,0.0
hiro22774295,hiro22774295,2,2,4,0.0
hodlxhold,hodlxhold,1,1,2,0.0
huriye19878019,huriye19878019,1,1,2,0.0
hwayugixx,hwayugixx,1,1,2,0.0
ixj6vwkzdxq1ocs,ixj6vwkzdxq1ocs,1,1,2,0.0
jamesgonzal1,jamesgonzal1,3,3,6,0.0
johnboudet,johnboudet,1,1,2,0.0
juicycryptoclls,juicycryptoclls,1,1,2,0.0
kedrox99,kedrox99,1,1,2,0.0
lakers1099defi,lakers1099defi,1,1,2,0.0
luckyjuseo,luckyjuseo,1,1,2,0.0
makiscalfeng,makiscalfeng,1,1,2,0.0
maxakito_,pomelicon,2,0,2,1.0
mg_1512,mg_1512,1,1,2,0.0
mr_nobodytips,mr_nobodytips,1,1,2,0.0
mss5254,mss5254,2,2,4,0.0
murniwincityx21,murniwincityx21,1,1,2,0.0
nowar_4645,nowar_4645,1,1,2,0.0
ooock_,ooock_,1,1,2,0.0
pixel_character,pixel_character,1,1,2,0.0
rahul_12gh,rahul_12gh,1,1,2,0.0
roshangolu124,roshangolu124,1,1,2,0.0
rtbitch4amou,rtbitch4amou,1,1,2,0.0
scotty275160558,scotty275160558,1,1,2,0.0
songlokumu11,songlokumu11,1,1,2,0.0
srk0041,srk0041,1,1,2,0.0
superrarerares,c0rnh0li0,1,0,1,1.0
tangleswape,excessflame,0,1,1,-1.0
taukirmukadam,taukirmukadam,2,2,4,0.0
tedglock1017,tedglock1017,1,1,2,0.0
teepheh10,teepheh10,1,1,2,0.0
thedushez,thedushez,1,1,2,0.0
wahlahlelahxixi,wahlahlelahxixi,1,1,2,0.0
wallstreetpro,dddd34656996,0,1,1,-1.0
zuhal_ozkara,zuhal_ozkara,1,1,2,0.0
3pm,antcr3,0,1,1,-1.0
6loody0ne,6loody0ne,1,1,2,0.0
_tormewah,_tormewah,1,1,2,0.0
ademcryptoo,ademcryptoo,1,1,2,0.0
ajisaferukayat1,ajisaferukayat1,1,1,2,0.0
algo_maxi,algo_maxi,1,1,2,0.0
amarnath81750,amarnath81750,1,1,2,0.0
anjuwi,anjuwi,1,1,2,0.0
aqillae1,aqillae1,1,1,2,0.0
armata1110,armata1110,1,1,2,0.0
athanasiablue,athanasiablue,2,2,4,0.0
bilal56295536,bilal56295536,1,1,2,0.0
bitget_japan02,bitget_japan02,1,1,2,0.0
briansetzer555,briansetzer555,1,1,2,0.0
btc_lambo_soon,btc_lambo_soon,1,1,2,0.0
emrahtekir,emrahtekir,1,1,2,0.0
fabiohonorio4,bbkfi,1,0,1,1.0
faisal3ez,faisal3ez,1,1,2,0.0
ffehph4nypljj5t,ffehph4nypljj5t,1,1,2,0.0
gencebay_mutlu,gencebay_mutlu,1,1,2,0.0
gordyalba23,gordyalba23,1,1,2,0.0
inolupino,inolupino,1,1,2,0.0
jefri_jt,jefri_jt,1,1,2,0.0
jenstrats,jenstrats,1,1,2,0.0
khainekochey,khainekochey,1,1,2,0.0
kingzentz,coinqk,0,1,1,-1.0
leviklipsch,leviklipsch,6,6,12,0.0
llanr0g,imbrue001,1,0,1,1.0
markdeanemails,markdeanemails,1,1,2,0.0
mesutcagann,mesutcagann,1,1,2,0.0
mikeeey_21,stizumbpg,1,0,1,1.0
muhtdi__,gx_mester,1,0,1,1.0
norasatterfiel2,norasatterfiel2,1,1,2,0.0
offgridoutlaw,offgridoutlaw,1,1,2,0.0
opposition_ke,opposition_ke,1,1,2,0.0
paingyelwin3,paingyelwin3,1,1,2,0.0
phantomarufuxa,phantomarufuxa,1,1,2,0.0
plancton0618,plancton0618,1,1,2,0.0
r300310,r300310,2,2,4,0.0
rbryer23,rbryer23,1,1,2,0.0
riegopic_pickaw,riegopic_pickaw,1,1,2,0.0
seyed18659701,seyed18659701,1,1,2,0.0
silkydivya,silkydivya,1,1,2,0.0
suarezholdtrx,suarezholdtrx,1,1,2,0.0
sunsuns501,sunsuns501,1,1,2,0.0
thehamiltondj,thehamiltondj,1,1,2,0.0
torekkocom,naimliad,0,2,2,-1.0
tradethorr,tradethorr,2,2,4,0.0
vabei10,vabei10,2,2,4,0.0
vanastsya2,vanastsya2,1,1,2,0.0
whynot_btc,ugurkose_,1,0,1,1.0
wolfof_crypto_,wolfof_crypto_,1,1,2,0.0
zoomeranon,0xegas,0,1,1,-1.0
_sahsenem_,_sahsenem_,1,1,2,0.0
archyvest,archyvest,1,1,2,0.0
automatic_stop_,automatic_stop_,1,1,2,0.0
aypompin,aypompin,2,2,4,0.0
baturalpsmet,baturalpsmet,1,1,2,0.0
bobsmit12761927,bobsmit12761927,1,1,2,0.0
btcgrant,btcgrant,1,1,2,0.0
btcvergleich,btcvergleich,2,2,4,0.0
cashforfirsthy1,cashforfirsthy1,1,1,2,0.0
crypto_pr13st,thejohnkimshow,1,0,1,1.0
cyrilca,cyrilca,1,1,2,0.0
cyrptokhaleesi,blacksw41974141,0,1,1,-1.0
daikuwaharamai,daikuwaharamai,1,1,2,0.0
dk642,dk642,1,1,2,0.0
dpri142,dpri142,1,1,2,0.0
euzinhav3,euzinhav3,2,2,4,0.0
g__btc,g__btc,1,1,2,0.0
hifilij,hifilij,1,1,2,0.0
hilwasyrfh,hilwasyrfh,1,1,2,0.0
himawari7136,himawari7136,2,2,4,0.0
hj5smwmq1ye2br,hj5smwmq1ye2br,1,1,2,0.0
jian_miel,jian_miel,2,2,4,0.0
jocosekoko,dasminto_eth,1,0,1,1.0
kahin_99_kahin,kahin_99_kahin,6,6,12,0.0
karla07288424,karla07288424,1,1,2,0.0
kneelme1,kneelme1,1,1,2,0.0
koncoloz,koncoloz,1,1,2,0.0
krissydom,basedwalrusnft,1,0,1,1.0
lendexefinance,excessflame,0,1,1,-1.0
marario1214,marario1214,1,1,2,0.0
markcris051891,markcris051891,1,1,2,0.0
memes40558324,memes40558324,1,1,2,0.0
merinotendero,merinotendero,1,1,2,0.0
meso6101626,meso6101626,2,2,4,0.0
mohamedcrypto,mohamedcrypto,1,1,2,0.0
muhamma61536743,muhamma61536743,1,1,2,0.0
musk_meta,musk_meta,1,1,2,0.0
nyaa20,nyaa20,2,2,4,0.0
ozawa72717597,ozawa72717597,1,1,2,0.0
rickyst90188481,rickyst90188481,2,2,4,0.0
salimgokcen,salimgokcen,1,1,2,0.0
shnrdgn00,shnrdgn00,1,1,2,0.0
sji_ie,sji_ie,2,2,4,0.0
someone_and_you,someone_and_you,2,2,4,0.0
sultansulthon,sultansulthon,1,1,2,0.0
tanicityx,tanicityx,1,1,2,0.0
trade_rick,trade_rick,1,1,2,0.0
urangatang09,urangatang09,1,1,2,0.0
warocxmania,warocxmania,1,1,2,0.0
worldveganlaw,worldveganlaw,3,3,6,0.0
21mfox,21mfox,1,1,2,0.0
akaydinsemavi,akaydinsemavi,1,1,2,0.0
ankahan06,ankahan06,3,3,6,0.0
atilioreyes62,atilioreyes62,4,4,8,0.0
brimka2211,brimka2211,1,1,2,0.0
bruglionee,bruglionee,1,1,2,0.0
cecilia_ivyy,cecilia_ivyy,1,1,2,0.0
chucky_500,chucky_500,1,1,2,0.0
crycurking,crycurking,1,1,2,0.0
crypto_ro_,crypto_ro_,1,1,2,0.0
cumalibalci,cumalibalci,1,1,2,0.0
dennys_pr,dennys_pr,1,1,2,0.0
erhann50,erhann50,1,1,2,0.0
evikahin1,ruzgar88888,1,0,1,1.0
fardin_0123,fardin_0123,1,1,2,0.0
gurlergureli,gurlergureli,1,1,2,0.0
hanjiysungie,hanjiysungie,1,1,2,0.0
hexiseffortless,hexiseffortless,1,1,2,0.0
hikaruyukita,hikaruyukita,1,1,2,0.0
hodladi,hodladi,1,1,2,0.0
jackal_1982,jackal_1982,2,2,4,0.0
jackie_cryptona,jackie_cryptona,1,1,2,0.0
jieho_,jieho_,1,1,2,0.0
joyang89213590,joyang89213590,1,1,2,0.0
juanjoleston,juanjoleston,1,1,2,0.0
katyalgeet,katyalgeet,1,1,2,0.0
ktm33343593,ktm33343593,1,1,2,0.0
maarii_mi,maarii_mi,1,1,2,0.0
mahzenbeg,mahzenbeg,1,1,2,0.0
manish707814,manish707814,1,1,2,0.0
meltemyeter5,meltemyeter5,1,1,2,0.0
merve_erkal,merve_erkal,1,1,2,0.0
meyssopotamia,unitedredss1,0,1,1,-1.0
mikahipi,mikahipi,1,1,2,0.0
mustafa12566609,mustafa12566609,2,2,4,0.0
myselfroby,myselfroby,1,1,2,0.0
nadirah18051837,nadirah18051837,1,1,2,0.0
nat_crypto,nat_crypto,2,2,4,0.0
nftshaker,nftshaker,2,2,4,0.0
satoshi_dice,satoshi_dice,2,2,4,0.0
scotchtape1990,scotchtape1990,1,1,2,0.0
sefasen19047523,sefasen19047523,2,2,4,0.0
sek8z1,monadesdee,2,0,2,1.0
sessiz_e1,sessiz_e1,1,1,2,0.0
shimmernet,antcr3,0,1,1,-1.0
shubgup99,shubgup99,1,1,2,0.0
straythe1,straythe1,1,1,2,0.0
sunkyjay,sunkyjay,1,1,2,0.0
the_weirdoxxx,the_weirdoxxx,1,1,2,0.0
togepissy,togepissy,1,1,2,0.0
udemirkay,udemirkay,1,1,2,0.0
yyw69asjr1mqmth,yyw69asjr1mqmth,1,1,2,0.0
6egvwjywzoqsfva,6egvwjywzoqsfva,1,1,2,0.0
_asmaa_1990,_asmaa_1990,1,1,2,0.0
alana_fn2305,alana_fn2305,1,1,2,0.0
alpsezer,alpsezer,1,1,2,0.0
ardaert1,ardaert1,4,4,8,0.0
asdfghjessicaaa,asdfghjessicaaa,1,1,2,0.0
axiesquad_101,mikeeey_21,0,1,1,-1.0
aykt_kra,aykt_kra,1,1,2,0.0
balasmari2,balasmari2,1,1,2,0.0
balikgozuu,balikgozuu,1,1,2,0.0
bd_limn,bd_limn,3,3,6,0.0
berinayekici,berinayekici,1,1,2,0.0
boomnaticswin15,boomnaticswin15,1,1,2,0.0
braveheartstak3,braveheartstak3,2,2,4,0.0
cryptoowlx,cryptoowlx,1,1,2,0.0
dorrisgoodsel11,dorrisgoodsel11,1,1,2,0.0
ellacityxx,ellacityxx,1,1,2,0.0
esphrailma,esphrailma,1,1,2,0.0
eswoop4,eswoop4,1,1,2,0.0
felixo82765392,felixo82765392,2,2,4,0.0
george01617393,george01617393,1,1,2,0.0
golden_eagle___,golden_eagle___,1,1,2,0.0
hckmstrrahul,hckmstrrahul,1,1,2,0.0
henchinima,henchinima,1,1,2,0.0
irahabigwin,irahabigwin,1,1,2,0.0
ishib_official,chelsea0000020,1,0,1,1.0
ivjsz6vfyyx3nvy,ivjsz6vfyyx3nvy,1,1,2,0.0
kagakpnyanama,kagakpnyanama,1,1,2,0.0
kkantas1,kkantas1,1,1,2,0.0
kotscrypto,kotscrypto,1,1,2,0.0
levynbaby,levynbaby,1,1,2,0.0
mahdi70818,mahdi70818,1,1,2,0.0
mgi79bodfpuqnnn,mgi79bodfpuqnnn,1,1,2,0.0
mpchaliha,mpchaliha,1,1,2,0.0
mslm06372893,mslm06372893,1,1,2,0.0
nft_sarge,nft_sarge,1,1,2,0.0
nikbinaz,nikbinaz,1,1,2,0.0
officialabq,icannot_enough,1,0,1,1.0
ohhrizk,ohhrizk,1,1,2,0.0
okbenn1,okbenn1,2,2,4,0.0
ozguryasar90,ozguryasar90,1,1,2,0.0
pankaja92491635,pankaja92491635,1,1,2,0.0
radd26720690,radd26720690,1,1,2,0.0
realmetanurse,realmetanurse,1,1,2,0.0
saucycrypto,saucycrypto,1,1,2,0.0
simplyheres,daorangearmy,1,1,2,0.0
sirglavan,sirglavan,1,1,2,0.0
thenextdanup,thenextdanup,1,1,2,0.0
waveaboard,waveaboard,1,1,2,0.0
yuuun0225,yuuun0225,1,1,2,0.0
_asaf_22,_asaf_22,1,1,2,0.0
_largezagzarou,_largezagzarou,1,1,2,0.0
aangelbigwin,aangelbigwin,1,1,2,0.0
abigwinjeykeey_,abigwinjeykeey_,1,1,2,0.0
alessio34769307,alessio34769307,1,1,2,0.0
anhmm6728,anhmm6728,1,1,2,0.0
bastiaa76909205,bastiaa76909205,1,1,2,0.0
bbdzbdzaejcigdd,bbdzbdzaejcigdd,1,1,2,0.0
benjoesangalang,benjoesangalang,1,1,2,0.0
bor555s,bor555s,1,1,2,0.0
btcissoundmoney,btcissoundmoney,2,2,4,0.0
cryptopyon,cryptopyon,2,2,4,0.0
cryptos12254907,cryptos12254907,2,2,4,0.0
darrinlewisjr,makinufit,0,1,1,-1.0
el_pinguino99,el_pinguino99,1,1,2,0.0
eminebuglem44,eminebuglem44,1,1,2,0.0
enes_akbayrak,enes_akbayrak,1,1,2,0.0
fadegilles,fadegilles,1,1,2,0.0
fayluckyywin,fayluckyywin,1,1,2,0.0
georgej41197125,georgej41197125,1,1,2,0.0
hanabiboyfriend,hanabiboyfriend,1,1,2,0.0
herisus80486189,herisus80486189,1,1,2,0.0
hokakuratrace,hokakuratrace,1,1,2,0.0
jonathanuosman,jonathanuosman,1,1,2,0.0
kaanhas91976514,kaanhas91976514,1,1,2,0.0
kingkong9888,kingkong9888,2,2,4,0.0
kristinincorp,kristinincorp,2,2,4,0.0
littlerocksnft,eth_allen,1,1,2,0.0
luckymarkgf,luckymarkgf,1,1,2,0.0
malikak21246992,malikak21246992,1,1,2,0.0
mihayana96,mihayana96,1,1,2,0.0
mike_hogbin,mike_hogbin,1,1,2,0.0
muffinblue5106,muffinblue5106,1,1,2,0.0
noname33841913,noname33841913,1,1,2,0.0
oroborous2,oroborous2,2,2,4,0.0
pablobar1303,pablobar1303,1,1,2,0.0
pavelur90327068,pavelur90327068,1,1,2,0.0
ppannichsaa,ppannichsaa,1,1,2,0.0
sachimuslima,mirzayo72749827,0,1,1,-1.0
sleeyadora,sleeyadora,1,1,2,0.0
solarpoweredbtc,solarpoweredbtc,1,1,2,0.0
sss959595,sss959595,1,1,2,0.0
sukadaba,sukadaba,1,1,2,0.0
sundayd67125207,sundayd67125207,1,1,2,0.0
todayisjoyie,todayisjoyie,1,1,2,0.0
torresxavier15,newsaimarketing,1,0,1,1.0
vertexdevog,vertexdevog,1,1,2,0.0
yungysounds,yungysounds,1,1,2,0.0
7zainn,7zainn,1,1,2,0.0
__binaabinaa,__binaabinaa,2,2,4,0.0
aldiablocontigo,aldiablocontigo,1,1,2,0.0
anand14363,anand14363,1,1,2,0.0
anouarhavingfun,anouarhavingfun,1,1,2,0.0
archercoin,archercoin,1,1,2,0.0
arunsha11793657,arunsha11793657,1,1,2,0.0
ashton__t,ashton__t,1,1,2,0.0
attorneyseal1,iqmalnaufal,0,1,1,-1.0
babavoss03,babavoss03,1,1,2,0.0
barsanemil,barsanemil,1,1,2,0.0
birol37577253,birol37577253,1,1,2,0.0
bobwincityx,bobwincityx,1,1,2,0.0
btc_altcoin34,shahidbalochh,1,1,2,0.0
bubbleofbubble1,bubbleofbubble1,2,2,4,0.0
cogeba4763,cogeba4763,1,1,2,0.0
cristianlr_,saser0101,1,0,1,1.0
cryptoluck5,cryptoluck5,1,1,2,0.0
dayutzy,dayutzy,1,1,2,0.0
devocustoms,devocustoms,1,1,2,0.0
emerald_eyes12,emerald_eyes12,1,1,2,0.0
emrahfer,emrahfer,1,1,2,0.0
erdalzc95045939,erdalzc95045939,1,1,2,0.0
evisugang111,evisugang111,1,1,2,0.0
