dst,src,src_followers_count,src_friends_count,created_at,src_favourites_count,twitter_query,src_screen_name,dst_screen_name,hashtags,dst_name,time,src_id_str,text,src_listed_count,dst_id_str,src_name,src_statuses_count,time_
2018yeniden,2018yeniden,34,431,Sun Dec 05 13:08:31 +0000 2021,3850,BTC,2018yeniden,2018yeniden,,serdar✈️✈️,1638709711,4228856079,"RT @IamCryptoWolf: $BTC potential massive iHS, reminds me 2013 after the great shakeout. https://t.co/PfRmBVNERe",4,,serdar✈️✈️,4874,['1638662400-1638748800']
_32jaemcityx,_32jaemcityx,49,982,Sun Oct 31 11:40:40 +0000 2021,1103,BTC,_32Jaemcityx,_32Jaemcityx,"Bitcoin, Ethereum",oktober bigwin 🙏,1635680440,1446818715811540998,"RT @AshLee93247466: Legend has it, if anyone own seven Bull Cards, Shenlong will appear, and make #Bitcoin hit $100k, #Ethereum hit 20k...t…",0,,oktober bigwin 🙏,3274,['1635638400-1635724800']
agussulaeman_15,agussulaeman_15,1,68,Sun Nov 28 21:46:19 +0000 2021,51,BTC,Agussulaeman_15,Agussulaeman_15,,Agus Sulaeman,1638135979,1421278867382177794,@GoldSeaNFT amazing campaign and it has offering big opportunity @shabnam84801557 @Nuoimamtuonglai @HosseiniAzra… https://t.co/XMBNBtiES6,1,,Agus Sulaeman,70,['1638057600-1638144000']
ahamednahid9,ahamednahid9,1,18,Sun Dec 12 07:32:23 +0000 2021,23,BTC,AhamedNahid9,AhamedNahid9,,Ahamed Nahid,1639294343,1469683302135070724,RT @GravitonZero: And here we are at over 35k already only 2 hours later 😳The support we are getting from the community is just overwhelm…,0,,Ahamed Nahid,35,['1639267200-1639353600']
annie61238278,annie61238278,15,66,Mon Oct 25 19:28:21 +0000 2021,471,ETH2,Annie61238278,Annie61238278,,Annie,1635190101,1445896099797946368,@mbradyx35 @TheMoonCarl ETH2 will be more liquid than ETH,0,,Annie,425,['1635120000-1635206400']
apolovyh,apolovyh,0,4,Sun Nov 28 21:12:06 +0000 2021,3,BTC,APolovyh,APolovyh,,алексей половых,1638133926,1465037073157664772,"RT @VGrtoken: BONUS 5 people with the most retweets, share this tweet. each person will get 50000VGr. ends at 12 o'clock on 11/29 . @VGrtok…",0,,алексей половых,3,['1638057600-1638144000']
arfbrkkrblt,arfbrkkrblt,4,63,Sun Dec 05 13:10:09 +0000 2021,1455,BTC,arfbrkkrblt,arfbrkkrblt,,Arif Berke KARABULUT,1638709809,603667995,RT @kriptoefendisi_: 🔥ÇEKİLİŞ YAPIYORUM 🔥toplam 4500TL daha hediye edeceğim💵Yapmanız Gereken-Beni Takip Et✅-Tweeti RT Yap ve Beğen ✅…,0,,Arif Berke KARABULUT,37,['1638662400-1638748800']
arifboyraz10,arifboyraz10,0,8,Sun Nov 28 21:00:36 +0000 2021,42,BTC,ArifBoyraz10,ArifBoyraz10,"RUNE, RUNEUSDT, BTCUSDT, BTC",Arif Boyraz,1638133236,1447225356193251340,RT @falcon_line: #RUNE   $RUNE   #RUNEUSDT  #BTCUSDT  #BTC $BTC LONG   KİNG   HEADSHOT  🪓🔥💰💯Yatırım tavsiyesi değildir.Not Financial ad…,0,,Arif Boyraz,56,['1638057600-1638144000']
audymarroxas,audymarroxas,4,44,Sun Dec 12 07:33:31 +0000 2021,107,BTC,AudymarRoxas,AudymarRoxas,,Audymar Victoria Roxas,1639294411,1420732608158175238,RT @PlayMining_SG: News 🎉Current DEP price 0.0418 DEP/USDT (+10.48% Last 24h)Buy DEP now from following exchanges!OKEx▶️https://t.co/r…,0,,Audymar Victoria Roxas,124,['1639267200-1639353600']
berkkbulutt,berkkbulutt,191,361,Mon Nov 29 14:10:16 +0000 2021,3693,ETH,berkkbulutt,berkkbulutt,SLA,Berk Bulut (33.3%),1638195016,2878320753,RT @delizazaa: @cz_binance @elonmusk @binance @super_launch The 2nd IDO water @BornToRaceNft has launched and the #SLA approach has seen ar…,0,,Berk Bulut (33.3%),1078,['1638144000-1638230400']
bitvalue3,bitvalue3,38,137,Sun Nov 07 18:49:02 +0000 2021,173,BTC,Bitvalue3,Bitvalue3,,Bitvalue,1636310942,1328128278398459904,RT @IamCryptoWolf: Last 2 months of Q4 are going to be explosive. 🧨 $ETH $BTC $alts,2,,Bitvalue,1017,['1636243200-1636329600']
btc_stock,btc_stock,127,1090,Mon Dec 20 08:12:59 +0000 2021,4234,BTC,btc_stock,btc_stock,,Bitcoin Stock Video Clips 🎥🎬🎞,1639987979,1324032904155041793,RT @saoulidisg: Just bought another dip.,1,,Bitcoin Stock Video Clips 🎥🎬🎞,2124,['1639958400-1640044800']
buibaotoan2807,buibaotoan2807,1517,478,Sun Nov 28 21:28:48 +0000 2021,4144,BTC,BuiBaoToan2807,BuiBaoToan2807,"BTC, CRO",DavidBui.CRO.🐱.Plan₿,1638134928,946295885679308800,I love the dip. Time for Plan #BTC. #CRO to $1.5 https://t.co/Hkvvg9B7US,7,,DavidBui.CRO.🐱.Plan₿,1258,['1638057600-1638144000']
bxsptmn_,bxsptmn_,284,259,Sun Dec 26 11:29:19 +0000 2021,21936,LINK,bxsptmn_,bxsptmn_,artworkทึเม,シ,1640518159,1302787710516490240,"RT @bbaiifernntw: give away wallpaper iphone ( treasuremembers ,🤍 ) pls retweet n fav link : https://t.co/83o5fGLE7i#artworkทึเม #แจกwa…",1,,シ,82276,['1640476800-1640563200']
canedoventura,canedoventura,37,133,Sun Nov 07 18:51:50 +0000 2021,2133,BTC,CanedoVentura,CanedoVentura,"nft, nftcollectibles, nfts, nftartist, nftcollectors, nftartgallery",Bruno Ventura Canedo,1636311110,1371262336699404291,RT @KillerFoxClub: 🦊 KILLER FOX CLUB 🦊https://t.co/wK0L7hU7CX#nft #nftcollectibles #nfts #nftartist #nftcollectors #nftartgallery #nftco…,1,,Bruno Ventura Canedo,246,['1636243200-1636329600']
coldw1nter_,coldw1nter_,104,1791,Sun Nov 07 19:00:24 +0000 2021,1767,BTC,coldw1nter_,coldw1nter_,,ᘏ ˖ ་ 💭 rara 𖦆 . ა,1636311624,1417469440380137474,RT @jaemcityx: GIVEAWAY $2000 | 28 JUTA RUPIAH | IMAC 27 INC 2020 FOR ONE WINNER !- rt follow me and@btc_nft@Block_Flash @uniswap_gem…,0,,ᘏ ˖ ་ 💭 rara 𖦆 . ა,7606,['1636243200-1636329600']
cristianlr_,cristianlr_,485,1347,Sun Nov 28 21:12:38 +0000 2021,3989,BTC,CristianLR_,CristianLR_,,Cristian (Romak),1638133958,270343066,@saser0101 Btc fumandose un tremendo de silvio berlusconi,4,,Cristian (Romak),4197,['1638057600-1638144000']
cromeawcityx,cromeawcityx,165,1052,Sun Dec 26 10:18:17 +0000 2021,3636,BTC,cromeawcityx,cromeawcityx,"BSC, Binance",tata🐣bigwinsoon,1640513897,1463092108261167108,RT @AceDCoin: Trading is Live!https://t.co/MMFhMUYffXHyper Deflationary $AceD $BUSD REWARDSVisit: https://t.co/V3sSxDKmrC #BSC #Binance…,0,,tata🐣bigwinsoon,7984,['1640476800-1640563200']
cryptoprijzen,cryptoprijzen,1047,539,Sun Nov 07 19:41:22 +0000 2021,88,BTC,CryptoPrijzen,CryptoPrijzen,BTC,CryptoPrijzen,1636314082,1017482242128596992,"De goedkoopste #BTC broker van vandaag is @bitvavocom met een prijs van € 54053,80. Betaal niet langer te veel voor… https://t.co/kj0gl5owSs",7,,CryptoPrijzen,1319,['1636243200-1636329600']
danabelmusic,danabelmusic,97,699,Sun Dec 05 13:11:14 +0000 2021,375,BTC,DanAbelMusic,DanAbelMusic,"Bitcoin, BTC, BITCOIN",Dan Abel,1638709874,733760168,RT @MartiniGuyYT: #Bitcoin to $300K before $30k 🧙‍♂️🚀IF #BTC HITS $30K FIRSTI WILL GIVE AWAY ONE #BITCOIN TO SOMEONE WHOA) LIKES THIS…,5,,Dan Abel,302,['1638662400-1638748800']
daybigwincityx,daybigwincityx,199,2119,Sun Dec 26 10:29:28 +0000 2021,2139,BTC,daybigwincityx,daybigwincityx,"BSC, Binance",day ◡̈,1640514568,1441812623331184641,RT @AceDCoin: Trading is Live!https://t.co/MMFhMUYffXHyper Deflationary $AceD $BUSD REWARDSVisit: https://t.co/V3sSxDKmrC #BSC #Binance…,0,,day ◡̈,8686,['1640476800-1640563200']
dkcdu13vvreuzxq,dkcdu13vvreuzxq,35,69,Sun Oct 31 11:24:13 +0000 2021,290,BTC,DKcdU13vvREUzxQ,DKcdU13vvREUzxQ,"BTC, Bitcoin, ETH",チャンちゃらん,1635679453,1354044363945336834,RT @fxoldman0321: 仮想通貨利益還元しますビットコイン #BTC #Bitcoin イーサリアム #ETH150万円分30人に送ります（5万/1人）条件・RT・フォロー @btc_ctb_btc @fxoldman0321期限来週月…,0,,チャンちゃらん,141,['1635638400-1635724800']
emresaglamtr,emresaglamtr,34,146,Sun Oct 31 12:02:22 +0000 2021,295,BTC,EmreSaglamTr,EmreSaglamTr,"Fantom, crypto",Emre,1635681742,96170194,RT @rootdubs: Retweet if you think #Fantom is a whole new era in #crypto.$FTM $BTC $ETH,0,,Emre,200,['1635638400-1635724800']
epcot7,epcot7,161,546,Sun Dec 05 14:07:08 +0000 2021,3577,ETH,epcot7,epcot7,"NFTCommunity, NFT, NFTs, opensea",mallina,1638713228,3052729709,RT @Cypikat: Kunoichi 008 $ETH 0.02 1/1 OpenSea https://t.co/VNReo2ddpO#NFTCommunity #NFT #NFTs #opensea https://t.co/73BvDjvr5m,0,,mallina,1918,['1638662400-1638748800']
eystil,eystil,12,103,Sun Dec 12 08:21:01 +0000 2021,85,BTC,eystil,eystil,"CPSR, RACA, MİNA",MyStil,1639297261,124291371,RT @CemilSert05: Arkadaşlar bu tweet'i beğenip RT yapan 3 kişiye 500 #CPSR 25.000 #RACA 5 #MİNA coinlerini hediye olarak yollayacağım.…,0,,MyStil,2370,['1639267200-1639353600']
feiwino,feiwino,16,507,Mon Dec 20 08:28:03 +0000 2021,360,BTC,FeiwinO,FeiwinO,"TykeArmy, Tyke, Presale, IDO, PinkSale",Feiwin Ostaga,1639988883,1427057202234236933,"RT @tykeinu: 5300+ Whitelist request, Tyke is coming!. We are naughty.  18/12/2021  10AM UTC #TykeArmy #Tyke #Presale #IDO #PinkSale #Launc…",1,,Feiwin Ostaga,733,['1639958400-1640044800']
piti_pui,game_of_allure,176,299,Mon Nov 29 13:55:21 +0000 2021,1150,ETH,Game_of_Allure,piti_pui,,Konpui,1638194121,1460616127801970695,RT @piti_pui: ─ ✨🐹✨ ─TANG-TANG : Variation✦ Collaboration set added✦ 0.009-0.025 ethI put my ♥︎ in to every 🐹 I created🔗 https://t.c…,1,976058228428619776,Game of Allure,861,['1638144000-1638230400']
helenmar11,helenmar11,11259,10477,Sun Dec 26 10:40:16 +0000 2021,307855,BTC,Helenmar11,Helenmar11,,Helenmar,1640515216,1104709271906893824,"RT @_spiriituaL: Dear @elonmusk, Dear @jack,I want to taste what it feels like to be a $Billionaire. Here’s my BTC deposit address: 17…",11,,Helenmar,352003,['1640476800-1640563200']
jbarsody,jbarsody,718,2804,Sun Oct 31 12:30:51 +0000 2021,173316,BTC,jbarsody,jbarsody,"Bitcoin, BTC",MrJRB #RestoreTheSnyderVerse,1635683451,103355247,"RT @bitinning: On the occasion of #Bitcoin White Paper Day, we recommend our community members to read up on the evolution of money &amp; #BTC…",35,,MrJRB #RestoreTheSnyderVerse,62666,['1635638400-1635724800']
jweezy278,jweezy278,367,1245,Tue Dec 21 20:42:33 +0000 2021,54017,ETH,Jweezy278,Jweezy278,,J-Boogie,1640119353,118955683,"@GyroWaveGen_TM @stone_eth @DLS635 @people You asked the question, I gave you an answer, and no I don’t watch him,… https://t.co/cTZ3aeWkb1",2,,J-Boogie,13046,['1640044800-1640131200']
kai_7850,kai_7850,397,612,Mon Dec 20 08:38:54 +0000 2021,1643,BTC,kai_7850,kai_7850,,かい,1639989534,2524433107,RT @Akito_BTC: 🎁 🚀ゲリラ企画 やります🚀🎁🎃５万円を１０名の方にプレゼント🎃💸現金もしくは🪙XRP、BTC(５万円分)(リップル、ビットコイン)✅応募方法１.@Akito_BTC をフォロー２.このツイートをＲＴ🔥抽選は19時半に…,3,,かい,1112,['1639958400-1640044800']
karaugur55ugu,karaugur55ugu,20,38,Sun Dec 05 13:34:45 +0000 2021,1125,BTC,Karaugur55Ugu,Karaugur55Ugu,,ugur kara,1638711285,2185304075,RT @kriptoefendisi_: 🔥ÇEKİLİŞ YAPIYORUM 🔥toplam 4500TL daha hediye edeceğim💵Yapmanız Gereken-Beni Takip Et✅-Tweeti RT Yap ve Beğen ✅…,0,,ugur kara,772,['1638662400-1638748800']
kisacafdben,kisacafdben,379,1955,Mon Dec 20 07:52:13 +0000 2021,70398,BTC,kisacafdben,kisacafdben,,isim misim yok,1639986733,1460384166,RT @altcoinrookie: $BTCDestekler sırasıyla gösterildi. Ben 42.000$ ve 39.000$ seviyelerini göreceğimizi düşünüyorum.Minör trendde 52.0…,0,,isim misim yok,27148,['1639958400-1640044800']
nycryptoyoshi,kriptoveli11,3,211,Mon Dec 20 08:53:04 +0000 2021,193,BTC,Kriptoveli11,NYCryptoYoshi,,SatYoshi,1639990384,1461708995794767882,"RT @NYCryptoYoshi: 🎁 CANLI ÇEKİLİŞLE TOPLAM 500$ HEDİYE 🎁🎴ZIGNALY PLATFORM TANITIMI🎴👉 Görevler 👉 takibe al @bygokcebey, @NYCryptoYoshi ,…",0,876061755335639040,Kriptoveli,170,['1639958400-1640044800']
kyleholzinger,kyleholzinger,522,388,Tue Dec 21 21:07:44 +0000 2021,9378,ETH,kyleholzinger,kyleholzinger,,kyle,1640120864,367416362,"@TejasKumar_ Check out ipfs pinning. Ipfs is not exactly the same as something like ETH or BTC, nodes can pin/host… https://t.co/g5GY1uW5cN",13,,kyle,1404,['1640044800-1640131200']
mahdi70818,mahdi70818,2,66,Sun Dec 05 13:36:23 +0000 2021,26,BTC,mahdi70818,mahdi70818,,mahdi 92,1638711383,1464970313184296963,"@elonmusk @Carrie25446685 Mr. Mask, out of 10,000 bitcoins that you can donate, 1 or even 0.5 bitcoins will help… https://t.co/1dnNpVprsn",1,,mahdi 92,30,['1638662400-1638748800']
mercace_,mercace_,485,4229,Sun Dec 26 10:09:21 +0000 2021,75025,BTC,mercace_,mercace_,"BSC, Binance",:),1640513361,1278573428451078146,RT @AceDCoin: Trading is Live!https://t.co/MMFhMUYffXHyper Deflationary $AceD $BUSD REWARDSVisit: https://t.co/V3sSxDKmrC #BSC #Binance…,2,,:),125543,['1640476800-1640563200']
mikahipi,mikahipi,11,66,Mon Nov 29 14:07:47 +0000 2021,24,ETH,mikahipi,mikahipi,NFT,mickael leveille,1638194867,3241031615,"RT @GulagGlobal: Congrats to the @UnityProjectOff Team. 101 ETH traded. The NFT was for free. Now floor at 0,09ETH #NFT  (RT &amp; follow to wi…",0,,mickael leveille,29,['1638144000-1638230400']
moodytheycall,moodytheycall,17,190,Sun Dec 26 10:36:11 +0000 2021,14902,BTC,moodytheycall,moodytheycall,,Always a catch,1640514971,749308571628646400,@ceoofpa Aynısı btc’de yaşansa ilk iş elon muska sövecek adamlar faili de belli olan bu olayda canı yananlara çirkeflik yapıyorlar,0,,Always a catch,2942,['1640476800-1640563200']
muratkeskinol18,muratkeskinol18,0,64,Mon Dec 20 08:50:45 +0000 2021,114,BTC,MuratKeskinol18,MuratKeskinol18,,Murat Keskinoğlu,1639990245,1452402086365249544,@borsaparatic Zor hocam btc altları mahfetti herkes terste kaldı :/,0,,Murat Keskinoğlu,82,['1639958400-1640044800']
nftvintage,nftvintage,110,245,Sun Dec 26 10:06:56 +0000 2021,209,BTC,NftVintage,NftVintage,,Rare Vintage NFT,1640513216,1436122931151572999,RT @rochigg_nft: Boxing Day Giveaway time! Follow R/T and ❤️ this tweet for a chance to win x1 EASTWOODPEPE &amp; x1 DANKLORDKEK will reveal th…,1,,Rare Vintage NFT,824,['1640476800-1640563200']
oscarvargas2071,oscarvargas2071,926,1548,Sun Nov 28 21:23:03 +0000 2021,5644,BTC,Oscarvargas2071,Oscarvargas2071,"BTC, Bitcoin",Oscarvs,1638134583,1285241250933665792,RT @healthy_pockets: Cuando se te va de las manos comprando el dip 😅😂 #BTC #Bitcoin https://t.co/Y4NJc4IdgA,2,,Oscarvs,2870,['1638057600-1638144000']
outofpocket_oop,outofpocket_oop,560,14,Sun Nov 28 21:10:39 +0000 2021,113,BTC,OutOfPocket_OOP,OutOfPocket_OOP,"BITCOIN, OutOfPocketCrypto",Out Of Pocket $OOP #OOP,1638133839,1460957355512934400,"RT @Prettykeli: The long-term #BITCOIN REWARDING Token, WORDPRESS Payment Option GOAT of CRYPTO @OutOfPocket_OOP #OutOfPocketCrypto #OO…",0,,Out Of Pocket $OOP #OOP,51,['1638057600-1638144000']
prettykeli,outofpocket_oop,560,14,Sun Nov 28 21:10:39 +0000 2021,113,BTC,OutOfPocket_OOP,Prettykeli,"BITCOIN, OutOfPocketCrypto",PrettyKeli Crypto Queen 👑,1638133839,1460957355512934400,"RT @Prettykeli: The long-term #BITCOIN REWARDING Token, WORDPRESS Payment Option GOAT of CRYPTO @OutOfPocket_OOP #OutOfPocketCrypto #OO…",0,16966784,Out Of Pocket $OOP #OOP,51,['1638057600-1638144000']
ppuffgbuttercup,ppuffgbuttercup,28,1552,Mon Dec 20 08:07:37 +0000 2021,1720,BTC,ppuffgbuttercup,ppuffgbuttercup,,cy,1639987657,1460052880480960512,RT @CryptoIsabel: ⚡🚨WARNING🚨⚡     PRESALE is getting closer!We are going to explode! 🚀🚀🚀Buy now or Miss out!📈buy now at: https://t.co…,0,,cy,7028,['1639958400-1640044800']
prashantjcha,prashantjcha,23,14,Sun Nov 28 21:11:26 +0000 2021,231,BTC,prashantjcha,prashantjcha,,prashant,1638133886,387412133,RT @Krebirth1: Buying $DOE now it's like getting $BTC for free. It still very early.Very huge project !- NFTs and coins STAKING [ $DOE a…,1,,prashant,172,['1638057600-1638144000']
princedjblack,princedjblack,228,1229,Mon Dec 20 08:43:46 +0000 2021,126,BTC,princedjblack,princedjblack,"Bitcoin, Ethereum, Shib, ALTO",Black Prince,1639989826,1235878934631378944,"@edjasa2 @BTC_Archive Please, don't miss @alto_defi if you missed #Bitcoin, #Ethereum and #Shib 🥂 #ALTO is still… https://t.co/WOcJc5GT8E",1,,Black Prince,181,['1639958400-1640044800']
zenobiwonglab,salehisahar5,874,678,Sun Nov 14 20:49:27 +0000 2021,5856,ETH,SalehiSahar5,ZenobiWongLab,,Marcy Zenobi-Wong,1636922967,1121648873498234881,RT @ZenobiWongLab: Several open PhD positions at @ETH  ! The ALIVE initiative aims to exploit the design principles of living systems as a…,0,1047807616943050752,Dr. Sahar Salehi,705,['1636848000-1636934400']
samisepetci,samisepetci,0,0,Sun Dec 05 13:15:25 +0000 2021,0,BTC,SamiSepetci,SamiSepetci,"crypto, tothemoon, eventuscoin, eve, btc, moon, money, eth, cryptocurrency, blockchain, bitcoin",Sami Sepetçi,1638710125,1458834241542930444,RT @eventuscoin: Buy the dip guys. #crypto #tothemoon #eventuscoin #eve #btc #moon #money #eth #cryptocurrency #blockchain #bitcoin #tradin…,0,,Sami Sepetçi,291,['1638662400-1638748800']
solune_swn,solune_swn,64,244,Sun Dec 12 06:57:50 +0000 2021,885,BTC,Solune_swn,Solune_swn,"ชาวดอย, Cryptocurrency, BTC",☯︎︎,1639292270,3133885166,RT @bossbabyluffy: ได้เงินสามแสนครั้งแรก ผมทำได้คุณก็ต้องทำได้ จากทุนสี่แสนห้า 🥲 #ชาวดอย #Cryptocurrency #BTC 🥺😅🥲 https://t.co/CHfTFMksjT,2,,☯︎︎,157843,['1639267200-1639353600']
soyeon19910916,soyeon19910916,15,168,Fri Nov 26 03:18:59 +0000 2021,185,ETH2,soyeon19910916,soyeon19910916,,soyeon,1637896739,1461401775475343364,"@Josh_in_Wester @TheCryptoLark You know, ETH2.0 is still in the development stage. When 2.0 is officially launched,… https://t.co/xMiQ6vWh99",0,,soyeon,77,['1637884800-1637971200']
t1texas,t1texas,15216,12292,Mon Dec 20 07:43:52 +0000 2021,39479,BTC,T1Texas,T1Texas,"smartcontracts, Ethereum, Bitcoin",T1 Texas 💻📡🛰📱,1639986232,2797403191,@Ekorso_ Join our Global Impact Team @ Solar Oil Project. Stake #smartcontracts to earn #Ethereum or #Bitcoin by mo… https://t.co/Psd2HwhSZ7,221,,T1 Texas 💻📡🛰📱,63911,['1639958400-1640044800']
unmatched22,unmatched22,219,428,Sun Dec 12 07:59:50 +0000 2021,81,BTC,UnMatChEd22,UnMatChEd22,,HydiBae,1639295990,326615975,"RT @0xHustler: I’ll give $100 and this Elon Musk NFT to a random person who retweets this tweet within the next 24 hours. Paid in $ETH, $BT…",0,,HydiBae,3163,['1639267200-1639353600']
waelchialison,waelchialison,0,0,Sun Nov 07 18:58:20 +0000 2021,0,BTC,WaelchiAlison,WaelchiAlison,btc,Alison Waelchi,1636311500,1454750338666438658,RT @xGemWolf: #btc almost ready to pump 🔥,0,,Alison Waelchi,166,['1636243200-1636329600']
wickmanmeta,wickmanmeta,8,129,Mon Dec 20 08:05:33 +0000 2021,61,BTC,wickmanmeta,wickmanmeta,,#Wickman,1639987533,1468078999608127488,"RT @LilMoonLambo: Elon Musk has to pay the equivalent of 237,282 $BTC in taxes this year",0,,#Wickman,53,['1639958400-1640044800']
wolo_chat,wolo_chat,122,459,Sun Dec 12 07:19:03 +0000 2021,3094,BTC,wolo_chat,wolo_chat,,Wolfgang Lohmann,1639293543,1387297622,"@CarsAndCryptos @kurtwuckertjr Comparing with internet,one should take into account different qualities. This, for… https://t.co/j6JwFZRWNg",4,,Wolfgang Lohmann,7941,['1639267200-1639353600']
yazeed_4334,yazeed_4334,3,295,Sun Oct 31 11:47:48 +0000 2021,223,BTC,yazeed_4334,yazeed_4334,البتكوين,yazeed:),1635680868,1250214683103109121,RT @CryptoForSA: • لا تستهِن بعملة الـ🐶 إلا إذا كنت تستحي من قول: ربحت من الكلب، ولكن خذ الحلّ:إذا ربحت؛ بِعها مقابل #البتكوين، ثم مقابل ا…,0,,yazeed:),1088,['1635638400-1635724800']
yuhgettru,yuhgettru,40,201,Sun Dec 05 13:20:07 +0000 2021,397,BTC,YUHGETTRU,YUHGETTRU,,YUH GT with HEX,1638710407,1313168632344698881,@dauriusfigueira As leverage is flushed out the system more and more of these degenerate traders get liquidated low… https://t.co/3w8M0x9qy9,0,,YUH GT with HEX,128,['1638662400-1638748800']
abbassi_nima,abbassi_nima,2,30,Mon Dec 20 08:38:07 +0000 2021,34,BTC,abbassi_nima,abbassi_nima,"ITMYNFT, IMN, ITMYNFT, IMN, Crypto, cryptotrading, BSC",Nima kochak khan,1639989487,1450140938609872901,RT @IT_MYNFT: #ITMYNFT #IMN Pre Sale IS LIVE NOW! 🔥🔥👉Buy IMN Now https://t.co/YcHoOn1AeB#ITMYNFT #IMN #Crypto #cryptotrading #BSC #Ether…,0,,Nima kochak khan,46,['1639958400-1640044800']
ahmad_hadi25,ahmad_hadi25,11,123,Mon Dec 20 08:27:10 +0000 2021,168,BTC,ahmad_hadi25,ahmad_hadi25,"Ape, NFT, NFTs, NFTgiveaway",ahmad,1639988830,1358670833003057152,"RT @pixelpartynft: 🔥GIVEAWAY 1x NFT Mutant #Ape ($400)🔥1 Winner in 24hr, RT + Tag 3 + Follow $ETH $BTC #NFT #NFTs #NFTgiveaway NFTs #G…",0,,ahmad,275,['1639958400-1640044800']
altinbasssak,altinbasssak,1,23,Sun Dec 26 10:21:04 +0000 2021,39,BTC,altinbasssak,altinbasssak,"Bitcoin, BTC, bist100",Serkan Korkmaz,1640514064,2844055809,RT @guitaristtrader: Bugün günlerden eğitim.Teknik Medya Ücretsiz Teknik Analiz eğitimde 13.30 da görüşmek üzere...#Bitcoin #BTC #bist100 h…,0,,Serkan Korkmaz,25,['1640476800-1640563200']
andrei_rancenft,andrei_rancenft,26,169,Mon Dec 20 08:42:49 +0000 2021,501,BTC,andrei_ranceNFT,andrei_ranceNFT,"BTC, XRP, Xshibanucoin, XSHIBANU",Rance Andrei,1639989769,1453278615500738572,RT @XShibanu: XSHIBANU ROBOT'S 💪-💯Follow us!-🔃Retweet and Like.-💬Comment our video #BTC #XRP #Xshibanucoin #XSHIBANU https://t.co/pjO…,0,,Rance Andrei,743,['1639958400-1640044800']
andyou05762769,andyou05762769,35,121,Mon Dec 20 08:43:26 +0000 2021,1523,BTC,ANDYOU05762769,ANDYOU05762769,,chige..,1639989806,1961503310,RT @CryptoFxKing: 仮想通貨いりませんか？いまアビトラで無制限に増やせてます。指定通貨BTCとMANAとDOTとXLMのいずれか応募条件でフォローとRTです。,15,,chige..,474,['1639958400-1640044800']
arlnsuinglwng,arlnsuinglwng,31,310,Mon Dec 20 08:53:24 +0000 2021,1347,BTC,ArlnSuingLwng,ArlnSuingLwng,"BTC, XRP, Xshibanucoin, XSHIBANU",Arlene Liwanag,1639990404,1455911313062838277,RT @XShibanu: XSHIBANU ROBOT'S 💪-💯Follow us!-🔃Retweet and Like.-💬Comment our video #BTC #XRP #Xshibanucoin #XSHIBANU https://t.co/pjO…,0,,Arlene Liwanag,1155,['1639958400-1640044800']
aytun00982804,aytun00982804,2,53,Mon Dec 20 08:25:49 +0000 2021,225,BTC,AYTUN00982804,AYTUN00982804,,AYTUNÇ,1639988749,1392931704541745152,@coinexactly insanlar dolar alamadığı için tl bazında al sat yapiyormudur hocam btc turk te tl bazında ath lar var,0,,AYTUNÇ,96,['1639958400-1640044800']
b_block_oficial,b_block_oficial,2058,80,Sun Dec 26 10:23:20 +0000 2021,5340,BTC,b_block_oficial,b_block_oficial,,B-BLOCK,1640514200,1446421165052989440,(5) Volumen (24).En este caso podemos ver la cantidad de dólares en $BTC que se han vendido y comprado en las ult… https://t.co/HC8udnn3uf,32,,B-BLOCK,1004,['1640476800-1640563200']
babylionsclub,babylionsclub,2840,71,Sun Dec 26 11:09:05 +0000 2021,1622,ETH,BabyLionsClub,BabyLionsClub,,Lil Baby Lazy Lions 👑 | PRE-SALE LIVE,1640516945,1446537520024522755,@FAT32_eth @bellbrand @BabyLionNFT @noncoducks Omg so cool 👑😍🦁,0,,Lil Baby Lazy Lions 👑 | PRE-SALE LIVE,1345,['1640476800-1640563200']
balelucias,balelucias,11,201,Sun Nov 28 21:28:49 +0000 2021,1029,BTC,BaleLucias,BaleLucias,,Lucias Bale premier,1638134929,1366755909750382598,RT @XchangeBryo: Bcoin listing sur BankCEX 🔥Trading du BRYO Xchange Coin (Bcoin) sur https://t.co/iNhTCkY69w le 10/12/2021 à 09h00 (GMT).…,1,,Lucias Bale premier,106,['1638057600-1638144000']
brandst7,brandst7,0,0,Sun Nov 07 19:37:24 +0000 2021,0,BTC,brandst7,brandst7,BTC,brand st,1636313844,1454522859427176450,💸 Earn free #BTC and multiply crypto up to 15% monthly with @betfury BOXes 📦 Enjoy the easy way to get cryptocurren… https://t.co/sc1ZitmziH,0,,brand st,3,['1636243200-1636329600']
btc_rehab,btc_rehab,374,2088,Sun Dec 12 07:47:18 +0000 2021,4982,BTC,btc_rehab,btc_rehab,,BTC REHAB,1639295238,4707205604,@LukeDashjr @LouisaAlexa Would be awesome 🤩 Kinda seems like it started that way before the normies 😳,1,,BTC REHAB,2016,['1639267200-1639353600']
caner14137783,caner14137783,3,85,Sun Dec 05 13:39:05 +0000 2021,61,BTC,caner14137783,caner14137783,,caner,1638711545,1418965748123381760,RT @kriptoefendisi_: 🔥ÇEKİLİŞ YAPIYORUM 🔥toplam 4500TL daha hediye edeceğim💵Yapmanız Gereken-Beni Takip Et✅-Tweeti RT Yap ve Beğen ✅…,0,,caner,89,['1638662400-1638748800']
