dst,src,src_followers_count,src_friends_count,created_at,src_favourites_count,twitter_query,src_screen_name,dst_screen_name,hashtags,dst_name,time,src_id_str,text,src_listed_count,dst_id_str,src_name,src_statuses_count,time_
nagimamafuku,nagimamafuku,4109,3402,Sun Dec 12 07:33:07 +0000 2021,27456,BTC,nagimamafuku,nagimamafuku,,ナギママoフォロバ遅くなったらすみません🙇‍♂️,1639294387,1278646608582725632,RT @shibainu_kanko_: 🐕ローリスクでコツコツ稼ぐ方法🐕1⃣BITPoint・bitFlyer・Coincheck何れかの口座開設👉https://t.co/wIBF3Hym0I2⃣BTC等を購入3⃣Bybitの口座開設👉https://t.co/…,13,,ナギママoフォロバ遅くなったらすみません🙇‍♂️,127805,['1639267200-1639353600']
nationlemon1,nationlemon1,17,74,Sun Oct 31 13:36:32 +0000 2021,9,ETH,nationlemon1,nationlemon1,,nationlemon,1635687392,1437047185716121604,"RT @LunaPadOfficial: LUNA-PAD is accepting IDOs application NOW.1st IDO would be announced on November 7, 2021Looking for a platform fo…",0,,nationlemon,12,['1635638400-1635724800']
nesih_25,nesih_25,0,19,Sun Dec 26 10:15:30 +0000 2021,126,BTC,nesih_25,nesih_25,"Bitcoin, BTC, bist100",Nesih,1640513730,1187031486739996672,RT @guitaristtrader: Bugün günlerden eğitim.Teknik Medya Ücretsiz Teknik Analiz eğitimde 13.30 da görüşmek üzere...#Bitcoin #BTC #bist100 h…,0,,Nesih,4,['1640476800-1640563200']
nongsf,nongsf,450,989,Sun Dec 12 06:55:55 +0000 2021,1365,BTC,NongSF,NongSF,,Nongse,1639292155,415376055,RT @GravitonZero: And here we are at over 35k already only 2 hours later 😳The support we are getting from the community is just overwhelm…,1,,Nongse,18196,['1639267200-1639353600']
ohhrizk,ohhrizk,340,101,Sun Oct 31 12:41:36 +0000 2021,2136,BTC,OhhRizk,OhhRizk,Altcoin,Rizk,1635684096,1421231190,RT @b0bcrypto: Crypto Bobs secret formula 🧪 How to find 100x HIDDEN #Altcoin Gems 💎 (A lot easier to find in the bear market): A THREAD…,0,,Rizk,480,['1635638400-1635724800']
ozbayaldemir,osg101,56,124,Sun Nov 07 19:09:07 +0000 2021,255,BTC,OSG101,ozbayaldemir,"btc, Ethereum, CTKUSDT, cryptocurrencies, Coinbase, Binance, USDT, altcoin",ozbayaldemir Cehalet savaşçısı,1636312147,1148205214903799808,@ozbayaldemir #btc #Ethereum #CTKUSDT #cryptocurrencies #Coinbase #Binance #USDT #altcoin https://t.co/Su2mWRarry,0,94975915,CryptOSG,755,['1636243200-1636329600']
rodrigozmn1,rodrigozmn1,4,114,Sun Nov 28 20:53:36 +0000 2021,46,BTC,rodrigozmn1,rodrigozmn1,,Rodrigo Garcia,1638132816,831463267033821184,@DLeyguarda https://t.co/AT6bTqOZT5,1,,Rodrigo Garcia,29,['1638057600-1638144000']
sakallivitalik,sakallivitalik,10,565,Sun Nov 28 21:41:35 +0000 2021,1464,BTC,sakallivitalik,sakallivitalik,,r.i,1638135695,1173678344933691394,RT @DiaboloTrading: 🔔 @PanteraCapital publie une analyse du fonds d'investissement qui prédit le cours du Bitcoin(BTC) à 115 000 dollars d’…,3,,r.i,2314,['1638057600-1638144000']
sero0511,sero0511,18,310,Sun Oct 31 11:24:58 +0000 2021,462,BTC,sero0511,sero0511,,srht,1635679498,944627879782047744,RT @eness_turann: Boğa başlangıcında coinler gruplar halinde yürütülür. Ve her boğanın bir başlangıç hikayesi vardır. Yaz sonunda NFT şuan…,0,,srht,920,['1635638400-1635724800']
sheriucar,sheriucar,3809,1341,Sun Oct 31 12:31:13 +0000 2021,62041,BTC,SheriUcar,SheriUcar,"Bitcoin, BitcoinCash, BCH",Sheri Ucar,1635683473,2645589422,@_Phil_Wilson_ The vision of #Bitcoin remains with #BitcoinCash (#BCH)People would do well to rise against the… https://t.co/9GIfZCnoyK,40,,Sheri Ucar,9689,['1635638400-1635724800']
