id,original_dataset,twitter_query,statuses_count,listed_count,favourites_count,friends_count,followers_count,name,messages_sent,messages_received,out_degree,in_degree,degree,messages_total,contribution_index,cluster,sentiment_avg,emotionality_avg,complexity_avg,start_time_,end_time_
torontootokyo,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,0,0,0,0,0,mikuuu,0,1,0,1,1,1,-1.0,cluster_4,,,,2021-10-31 00:00:00,2021-11-01 00:00:00
ceja53,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,0,0,0,0,0,Ahmed cj,0,1,0,1,1,1,-1.0,cluster_4,,,,2021-12-26 00:00:00,2021-12-27 00:00:00
elemontcapital,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,DOGE,0,0,0,0,0,Elemont 🏃‍♂️,0,2,0,2,2,2,-1.0,cluster_4,,,,2021-10-31 00:00:00,2021-11-01 00:00:00
peterscottmorg1,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,194,2,131,86,19,Peter Scott-Morgan,1,1,3,2,5,2,0.0,cluster_4,0.988484799861908,0.2738903760910034,5.38763952255249,2021-10-31 00:00:00,2021-11-01 00:00:00
ethguzzler,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,2014,1,5580,363,67,guzzler,1,1,3,2,5,2,0.0,cluster_4,0.003245370229706168,0.3138434588909149,5.68533992767334,2021-12-26 00:00:00,2021-12-27 00:00:00
rs_dilli,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,29054,2,4822,505,451,RS,1,1,3,2,5,2,0.0,cluster_4,0.5538600087165833,0.15592464804649353,8.050946235656738,2021-12-12 00:00:00,2021-12-13 00:00:00
chittykwesy5,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,ETH,289,1,183,194,7,Chittykwesy#5024,2,2,6,2,8,4,0.0,cluster_4,0.3286828843411058,0.2167946696281433,5.293382406234741,2021-12-12 00:00:00,2021-12-13 00:00:00
halilcan_03_48,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,28,0,585,182,11,Halil Can Doğan,1,1,3,2,5,2,0.0,cluster_4,,,,2021-11-28 00:00:00,2021-11-29 00:00:00
kouka1217,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,3059,7,1388,1276,115,ほんちゃん,1,1,3,2,5,2,0.0,cluster_4,,,,2021-12-05 00:00:00,2021-12-06 00:00:00
ddkcdkc,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,689,0,691,649,297,ふーりん,1,1,3,2,5,2,0.0,cluster_4,0.6367655396461487,0.18544968962669373,4.286409854888916,2021-12-12 00:00:00,2021-12-13 00:00:00
rikiyamiyamoto,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,144,0,44,77,23,rikiya miyamoto,1,1,3,2,5,2,0.0,cluster_4,,,,2021-12-20 00:00:00,2021-12-21 00:00:00
nugusuke001,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,28,0,14,55,9,ぬぐすけ,3,3,5,2,7,6,0.0,cluster_4,0.5133426785469055,0.013438286259770393,12.284838676452637,2021-10-31 00:00:00,2021-11-01 00:00:00
lasweeety,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,43,0,13,25,6,Daria,1,1,3,2,5,2,0.0,cluster_4,0.9595438838005066,0.24872180819511414,5.134328842163086,2021-11-28 00:00:00,2021-11-29 00:00:00
anuppandey77,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,0,0,0,0,0,Anup Pandey,1,2,3,3,6,3,-0.33,cluster_4,0.5074626803398132,0.014925372786819935,11.507938385009766,2021-12-05 00:00:00,2021-12-06 00:00:00
avaxwetrust,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,53,0,117,67,15,🔺Possible Avax Billionaire 🔺,1,1,3,2,5,2,0.0,cluster_4,0.020888488739728928,0.1848524659872055,4.344700813293457,2021-11-07 00:00:00,2021-11-08 00:00:00
salmenalnemer,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,5335,2,1394,1085,278,Sal-Men,1,1,3,2,5,2,0.0,cluster_4,0.18233607709407806,0.24767519533634186,8.741830825805664,2021-10-31 00:00:00,2021-11-01 00:00:00
vincenz56830093,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,206,0,637,40,10,Vincenzo,1,1,3,2,5,2,0.0,cluster_4,0.7951015830039978,0.14710509777069092,5.717102527618408,2021-12-26 00:00:00,2021-12-27 00:00:00
subterfugia,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,210661,199,342282,2320,8319,Alex ♐️☢️,1,1,3,2,5,2,0.0,cluster_4,0.6006417870521545,0.20872783660888672,8.754327774047852,2021-12-05 00:00:00,2021-12-06 00:00:00
bebek46753095,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,1572,0,4954,332,8,Tabutta Rövaşata,1,1,4,2,6,2,0.0,cluster_4,0.9545707702636719,0.3102417588233948,10.18586540222168,2021-10-31 00:00:00,2021-11-01 00:00:00
nikky_aa,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,357,0,179,177,11,Kemzy🧚🏾‍♂️,2,2,3,2,5,4,0.0,cluster_4,0.9070349931716919,0.2669345289468765,6.0621349811553955,2021-12-26 00:00:00,2021-12-27 00:00:00
cecilia_ivyy,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,11863,2,15019,1434,2794,Cecilia_Ivvy🌹,1,1,3,2,5,2,0.0,cluster_4,0.3741934895515442,0.1490153819322586,4.561715126037598,2021-12-12 00:00:00,2021-12-13 00:00:00
jbsyam3,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,4743,0,3383,1855,21,#LOVE YOURSELF JB€,1,1,3,2,5,2,0.0,cluster_4,0.3335876166820526,0.2764809727668762,10.78995418548584,2021-12-20 00:00:00,2021-12-21 00:00:00
arul61529216,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,201,1,113,501,7,Arul,1,1,3,2,5,2,0.0,cluster_4,0.3335876166820526,0.2764809727668762,10.78995418548584,2021-12-20 00:00:00,2021-12-21 00:00:00
hexiseffortless,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,6323,8,30085,3521,1852,Effortless.Crypto,1,1,3,2,5,2,0.0,cluster_4,0.9320505261421204,0.21223902702331543,6.468964099884033,2021-10-31 00:00:00,2021-11-01 00:00:00
gems_chain,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,31,0,32,4,2,Gems Chain,1,1,3,2,5,2,0.0,cluster_4,0.8534064888954163,0.25169840455055237,7.484483242034912,2021-11-07 00:00:00,2021-11-08 00:00:00
macinist2,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,38,2,79,174,11,Macinist,1,1,3,2,5,2,0.0,cluster_4,0.9983054995536804,0.4429507553577423,8.23231315612793,2021-12-26 00:00:00,2021-12-27 00:00:00
gelicocharles18,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,2293,0,1256,607,5,👣 GÈLÏCÓ 🇵🇭 CHÀRLÉS 👣,1,1,3,2,5,2,0.0,cluster_4,0.7335431575775146,0.1395719200372696,5.584160804748535,2021-12-26 00:00:00,2021-12-27 00:00:00
grantmetz6,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,370,0,0,0,0,Grant Metz,1,1,3,2,5,2,0.0,cluster_4,0.5580641627311707,0.07184530794620514,5.446722507476807,2021-12-05 00:00:00,2021-12-06 00:00:00
kaanhas91976514,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,91,0,2,479,100,Kaan Hasan,1,1,3,2,5,2,0.0,cluster_4,0.8009628653526306,0.142506405711174,6.203349590301514,2021-12-12 00:00:00,2021-12-13 00:00:00
confrontarebtc,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,824,0,87,354,73,ConfrontareBitcoin,1,1,3,2,5,2,0.0,cluster_4,0.4887046813964844,0.1508607566356659,9.037467002868652,2021-12-20 00:00:00,2021-12-21 00:00:00
tony_bucharest,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,442,1,1251,444,76,Filip Tudor,1,1,3,2,5,2,0.0,cluster_4,0.9202286005020142,0.23680245876312256,6.2459540367126465,2021-11-07 00:00:00,2021-11-08 00:00:00
bcse_private,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,ETH,0,0,0,0,0,Not cheese,0,1,0,1,1,1,-1.0,cluster_4,,,,2021-12-21 00:00:00,2021-12-22 00:00:00
