dst,src,messages_sent,messages_received,messages_total,contribution_index,sentiment_avg,emotionality_avg,complexity_avg,start_time_,end_time_
ehsan_farbin,ehsan_farbin,1,1,2,0.0,0.696569561958313,0.22000561654567719,4.67354154586792,2021-12-21 00:00:00,2021-12-22 00:00:00
engrmiggy,engrmiggy,2,2,4,0.0,0.09453549229147029,0.3380945026874542,6.308461904525757,2021-12-21 00:00:00,2021-12-22 00:00:00
fatihsari79sari,fatihsari79sari,1,1,2,0.0,0.696569561958313,0.22000561654567719,4.67354154586792,2021-12-21 00:00:00,2021-12-22 00:00:00
h_koodah,h_koodah,1,1,2,0.0,0.2741371691226959,0.3343929052352905,5.387816905975342,2021-12-21 00:00:00,2021-12-22 00:00:00
hmase1962,hmase1962,1,1,2,0.0,0.9031882882118225,0.16705168783664703,4.802611827850342,2021-12-21 00:00:00,2021-12-22 00:00:00
joana070305,joana070305,1,1,2,0.0,0.6765236258506775,0.10410339385271072,10.135053634643555,2021-12-21 00:00:00,2021-12-22 00:00:00
sharondagostino,sharondagostino,1,1,2,0.0,0.9083446264266968,0.1642429381608963,5.586694240570068,2021-12-21 00:00:00,2021-12-22 00:00:00
talaneh1,talaneh1,2,2,4,0.0,0.5381359905004501,0.19857954233884811,5.221380233764648,2021-12-21 00:00:00,2021-12-22 00:00:00
ashfantasyy,ashfantasyy,2,2,4,0.0,0.8558856248855591,0.2208496555685997,5.857675313949585,2021-12-21 00:00:00,2021-12-22 00:00:00
haizin28go,haizin28go,1,1,2,0.0,0.6456560492515564,0.14889603853225708,6.264550685882568,2021-12-21 00:00:00,2021-12-22 00:00:00
jpohlmanwriting,jpohlmanwriting,1,1,2,0.0,0.8045578598976135,0.19064565002918243,4.647891044616699,2021-12-21 00:00:00,2021-12-22 00:00:00
mboostin7,mboostin7,1,1,2,0.0,0.9649540781974792,0.37408074736595154,6.89819860458374,2021-12-21 00:00:00,2021-12-22 00:00:00
newmann_dist,newmann_dist,4,4,8,0.0,0.8736439943313599,0.16574037447571754,6.653730273246765,2021-12-21 00:00:00,2021-12-22 00:00:00
nicolereneekali,nicolereneekali,7,7,14,0.0,0.5586651244333812,0.24041850013392313,5.281883375985282,2021-12-21 00:00:00,2021-12-22 00:00:00
thesims,simscreatorscom,1,0,1,1.0,0.1712283343076706,0.14918170869350433,4.016940593719482,2021-12-21 00:00:00,2021-12-22 00:00:00
tooru54255911,tooru54255911,1,1,2,0.0,0.6456560492515564,0.14889603853225708,6.264550685882568,2021-12-21 00:00:00,2021-12-22 00:00:00
arabianzelda,arabianzelda,1,1,2,0.0,0.48690420389175415,0.02619161643087864,7.220891952514648,2021-12-21 00:00:00,2021-12-22 00:00:00
clw_wildrift,clw_wildrift,1,1,2,0.0,0.8975554704666138,0.21917136013507843,7.840489864349365,2021-12-21 00:00:00,2021-12-22 00:00:00
danngoofed,danngoofed,1,1,2,0.0,0.14866095781326294,0.33625486493110657,5.357623100280762,2021-12-21 00:00:00,2021-12-22 00:00:00
gigi27431745,modeltrans01,1,0,1,1.0,0.6602152585983276,0.23598821461200714,4.016541481018066,2021-12-21 00:00:00,2021-12-22 00:00:00
priapos72,priapos72,1,1,2,0.0,0.3213604688644409,0.14285781979560852,5.470181941986084,2021-12-21 00:00:00,2021-12-22 00:00:00
reza25238951,reza25238951,1,1,2,0.0,0.9960935115814209,0.24293085932731628,5.146582126617432,2021-12-21 00:00:00,2021-12-22 00:00:00
cashoutchloe1,saska_sage,1,0,1,1.0,0.7810434103012085,0.3228050172328949,5.89988899230957,2021-12-21 00:00:00,2021-12-22 00:00:00
tweetbyworld,tweetbyworld,1,1,2,0.0,0.9587767124176025,0.2417261302471161,5.319990634918213,2021-12-21 00:00:00,2021-12-22 00:00:00
xkennedirx,xkennedirx,2,2,4,0.0,0.8558856248855591,0.2208496555685997,5.857675313949585,2021-12-21 00:00:00,2021-12-22 00:00:00
ilypcyily,ilypcyily,1,1,2,0.0,0.9557946920394897,0.18480515480041504,4.541958808898926,2021-12-21 00:00:00,2021-12-22 00:00:00
innomen,innomen,1,1,2,0.0,0.6040468811988831,0.19555094838142395,4.081706523895264,2021-12-21 00:00:00,2021-12-22 00:00:00
ladokealexandre,ladokealexandre,3,3,6,0.0,0.7918013334274292,0.15564823895692825,5.255825757980347,2021-12-21 00:00:00,2021-12-22 00:00:00
