id,original_dataset,twitter_query,statuses_count,listed_count,favourites_count,friends_count,followers_count,name,messages_sent,messages_received,out_degree,in_degree,degree,messages_total,contribution_index,cluster,start_time_,end_time_
edme91992569,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,2698,4,8024,240,89,@nomadlady,4,4,5,2,7,8,0.0,cluster_1,2021-12-20 00:00:00,2021-12-21 00:00:00
arthurglemanda,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,6420,9,8864,866,95,manglish,1,2,3,3,6,3,-0.33,cluster_1,2021-12-05 00:00:00,2021-12-06 00:00:00
_cryptomofo,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,623,1,507,214,31,cryptomofo,1,1,5,2,7,2,0.0,cluster_1,2021-12-20 00:00:00,2021-12-21 00:00:00
mo7ammedisam,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,0,0,0,0,0,Mohmmed,0,1,0,1,1,1,-1.0,cluster_1,2021-12-26 00:00:00,2021-12-27 00:00:00
imustafaadil,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,0,0,0,0,0,‏𓁻,0,1,0,1,1,1,-1.0,cluster_1,2021-12-26 00:00:00,2021-12-27 00:00:00
muichiroshrey,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,682,0,2231,159,46,Shrey,1,1,4,2,6,2,0.0,cluster_1,2021-12-05 00:00:00,2021-12-06 00:00:00
jungleroinvest,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,ETH,1639,0,2551,252,28,luis,1,3,5,3,8,4,-0.5,cluster_1,2021-11-07 00:00:00,2021-11-08 00:00:00
mebi_trade,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,19478,90,23892,258,6596,メビ,4,5,3,3,6,9,-0.11,cluster_1,2021-12-20 00:00:00,2021-12-21 00:00:00
mebi_trade,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,19478,90,23892,258,6596,メビ,4,5,3,3,6,9,-0.11,cluster_1,2021-12-05 00:00:00,2021-12-06 00:00:00
amanair2,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,1156,1,531,316,10,amanair2,1,1,6,2,8,2,0.0,cluster_1,2021-12-12 00:00:00,2021-12-13 00:00:00
gretitos,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,996,5,111,1644,1275,Gretitos,5,5,4,2,6,10,0.0,cluster_1,2021-10-31 00:00:00,2021-11-01 00:00:00
btc_idn,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,6547,1,8202,172,122,JackCoin,1,1,5,2,7,2,0.0,cluster_1,2021-12-05 00:00:00,2021-12-06 00:00:00
harikee7,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,93,0,45,163,109,harike7,1,1,4,2,6,2,0.0,cluster_1,2021-12-05 00:00:00,2021-12-06 00:00:00
fifi_h786,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,702,1,2992,176,143,Faya,1,1,4,2,6,2,0.0,cluster_1,2021-12-05 00:00:00,2021-12-06 00:00:00
whipenft,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,ETH,69,0,234,304,53,Whipe,1,2,7,3,10,3,-0.33,cluster_1,2021-12-05 00:00:00,2021-12-06 00:00:00
usmi2047,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,0,0,0,0,0,Usmi,0,1,0,1,1,1,-1.0,cluster_1,2021-12-05 00:00:00,2021-12-06 00:00:00
divinfty,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,1170,2,5229,421,416,Divinfty,4,4,5,2,7,8,0.0,cluster_1,2021-12-20 00:00:00,2021-12-21 00:00:00
shami1122333,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,DOGE,0,0,0,0,0,Ahtasham Khan,1,2,3,3,6,3,-0.33,cluster_1,2021-12-20 00:00:00,2021-12-21 00:00:00
gowrising,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,1357,1,1440,586,128,crYptoMoonNL,1,1,4,2,6,2,0.0,cluster_1,2021-12-12 00:00:00,2021-12-13 00:00:00
pelli23,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,ETH,0,0,0,0,0,Andrés Pellicer,0,3,0,2,2,3,-1.0,cluster_1,2021-11-07 00:00:00,2021-11-08 00:00:00
strings22,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,1206,0,1581,352,162,Joe Stringer,1,1,3,2,5,2,0.0,cluster_1,2021-10-31 00:00:00,2021-11-01 00:00:00
nftbytee,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,ETH,0,0,0,0,0,TEE,1,2,10,3,13,3,-0.33,cluster_1,2021-12-26 00:00:00,2021-12-27 00:00:00
