dst,src,messages_sent,messages_received,messages_total,contribution_index,sentiment_avg,emotionality_avg,complexity_avg,start_time_,end_time_
ericmc86,ericmc86,1,1,2,0.0,0.01804422400891781,0.26316505670547485,7.018533706665039,2021-11-07 00:00:00,2021-11-08 00:00:00
farshadtaji1,freebitco,0,1,1,-1.0,,,,2021-11-07 00:00:00,2021-11-08 00:00:00
gbogbamarfik,gbogbamarfik,1,1,2,0.0,0.6944149732589722,0.13715501129627228,6.714194297790527,2021-11-07 00:00:00,2021-11-08 00:00:00
hidayetaytar,hidayetaytar,1,1,2,0.0,0.7981182932853699,0.18753640353679657,11.612006187438965,2021-11-07 00:00:00,2021-11-08 00:00:00
mclubdao,theyoungcrews,1,0,1,1.0,0.5122547149658203,0.1756266951560974,6.339332580566406,2021-11-07 00:00:00,2021-11-08 00:00:00
zafarali45,zafarali45,1,1,2,0.0,0.6840867400169373,0.22951309382915497,8.243522644042969,2021-11-07 00:00:00,2021-11-08 00:00:00
jade37748,chelsea0000020,0,2,2,-1.0,,,,2021-11-07 00:00:00,2021-11-08 00:00:00
ddmakyz,ddmakyz,1,1,2,0.0,0.22958765923976898,0.22118130326271057,8.241089820861816,2021-11-07 00:00:00,2021-11-08 00:00:00
moneymacc,realsharkcove,1,0,1,1.0,0.976274311542511,0.3429306447505951,5.648380756378174,2021-11-07 00:00:00,2021-11-08 00:00:00
whuollyhx,whu_dena,1,0,1,1.0,0.03166632354259491,0.2833573818206787,7.679868698120117,2021-11-07 00:00:00,2021-11-08 00:00:00
yayson_d,yayson_d,2,2,4,0.0,0.8955497443675995,0.271209754049778,5.3988354206085205,2021-11-07 00:00:00,2021-11-08 00:00:00
chloeanne85,chloeanne85,2,2,4,0.0,0.4894803613424301,0.20579707622528076,5.922484636306763,2021-11-07 00:00:00,2021-11-08 00:00:00
fraudymcfraud,fraudymcfraud,1,1,2,0.0,0.29120784997940063,0.17622530460357666,4.742880821228027,2021-11-07 00:00:00,2021-11-08 00:00:00
moneysavvylady,moneysavvylady,1,1,2,0.0,0.0023270612582564354,0.2979828715324402,4.787890911102295,2021-11-07 00:00:00,2021-11-08 00:00:00
p_nchh,p_nchh,1,1,2,0.0,0.35547327995300293,0.28646352887153625,9.837668418884277,2021-11-07 00:00:00,2021-11-08 00:00:00
pelumi__ojo,pelumi__ojo,1,1,2,0.0,0.8146553039550781,0.245862677693367,6.21798038482666,2021-11-07 00:00:00,2021-11-08 00:00:00
rriesbry999,rriesbry999,1,1,2,0.0,0.9245400428771973,0.30142736434936523,4.442747592926025,2021-11-07 00:00:00,2021-11-08 00:00:00
sinemar01004022,sinemar01004022,1,1,2,0.0,0.7981182932853699,0.18753640353679657,11.612006187438965,2021-11-07 00:00:00,2021-11-08 00:00:00
therealasim1453,therealasim1453,1,1,2,0.0,0.7981182932853699,0.18753640353679657,11.612006187438965,2021-11-07 00:00:00,2021-11-08 00:00:00
zinmyoaung93,zinmyoaung93,1,1,2,0.0,0.9529457688331604,0.1869942545890808,6.039183616638184,2021-11-07 00:00:00,2021-11-08 00:00:00
cryptostreetbe9,cryptostreetbe9,1,1,2,0.0,0.8721138834953308,0.22437633574008942,4.744974136352539,2021-11-07 00:00:00,2021-11-08 00:00:00
bsubhashana,ivanpet89192969,0,1,1,-1.0,,,,2021-11-07 00:00:00,2021-11-08 00:00:00
axiesquad_101,mikeeey_21,1,0,1,1.0,0.9954869747161865,0.3085070252418518,6.098562240600586,2021-11-07 00:00:00,2021-11-08 00:00:00
realsharkcove,realsharkcove,1,1,2,0.0,0.976274311542511,0.3429306447505951,5.648380756378174,2021-11-07 00:00:00,2021-11-08 00:00:00
maccoymo,maccoymo,1,1,2,0.0,0.13058418035507202,0.22860637307167053,6.3953728675842285,2021-11-07 00:00:00,2021-11-08 00:00:00
menqhadeh,menqhadeh,2,2,4,0.0,0.9108913838863373,0.3862247169017792,5.406896591186523,2021-11-07 00:00:00,2021-11-08 00:00:00
nagornyh,nagornyh,1,1,2,0.0,0.953601062297821,0.2084473967552185,5.672727584838867,2021-11-07 00:00:00,2021-11-08 00:00:00
anttuzz1,anttuzz1,1,1,2,0.0,0.5810702443122864,0.28037580847740173,5.320007801055908,2021-11-07 00:00:00,2021-11-08 00:00:00
cryptoinvestspy,cryptoinvestspy,1,1,2,0.0,0.4635496437549591,0.36552393436431885,5.671282768249512,2021-11-07 00:00:00,2021-11-08 00:00:00
valor_world,luvtoken2,1,0,1,1.0,,,,2021-11-07 00:00:00,2021-11-08 00:00:00
mikkot22,mikkot22,2,2,4,0.0,0.6887222528457642,0.1216365173459053,6.239759922027588,2021-11-07 00:00:00,2021-11-08 00:00:00
rarlop,rarlop,1,1,2,0.0,0.06907576322555542,0.38474687933921814,6.356263160705566,2021-11-07 00:00:00,2021-11-08 00:00:00
resulcug,resulcug,1,1,2,0.0,0.7533718347549438,0.33290985226631165,10.064126014709473,2021-11-07 00:00:00,2021-11-08 00:00:00
arslan_helsinki,arslan_helsinki,1,1,2,0.0,0.7981182932853699,0.18753640353679657,11.612006187438965,2021-11-07 00:00:00,2021-11-08 00:00:00
cedcosta10,cedcosta10,3,3,6,0.0,0.7904317180315653,0.1987701654434204,6.6487836837768555,2021-11-07 00:00:00,2021-11-08 00:00:00
lockinprofits1,lockinprofits1,1,1,2,0.0,0.9490117430686951,0.42632925510406494,6.864868640899658,2021-11-07 00:00:00,2021-11-08 00:00:00
rizzlingnft,raretoshi,0,1,1,-1.0,,,,2021-11-07 00:00:00,2021-11-08 00:00:00
david_diputo,david_diputo,1,1,2,0.0,0.871612548828125,0.2763370871543884,5.246033668518066,2021-11-07 00:00:00,2021-11-08 00:00:00
foodie_egg,foodie_egg,1,1,2,0.0,0.11260523647069931,0.20884141325950623,5.470509052276611,2021-11-07 00:00:00,2021-11-08 00:00:00
gowthamraj2k17,gowthamraj2k17,1,1,2,0.0,0.7588104009628296,0.11352166533470154,6.0364155769348145,2021-11-07 00:00:00,2021-11-08 00:00:00
