id,original_dataset,twitter_query,statuses_count,listed_count,favourites_count,friends_count,followers_count,name,messages_sent,messages_received,out_degree,in_degree,degree,messages_total,contribution_index,cluster,sentiment_avg,emotionality_avg,complexity_avg,start_time_,end_time_
chudiezeugwu,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,5877,0,14454,782,531,Church Boy🀄,1,1,4,2,6,2,0.0,cluster_8,0.8927990794181824,0.23116137087345123,5.709961414337158,2021-11-07 00:00:00,2021-11-08 00:00:00
itsmoonlightgf,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,46513,2,15579,966,521,Rel𝕭 🌷,2,2,6,3,9,4,0.0,cluster_8,0.6305150091648102,0.2976991534233093,4.393893241882324,2021-12-12 00:00:00,2021-12-13 00:00:00
kymanfucker69,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,189,0,136,84,45,"badtouch me, daddy",1,1,4,2,6,2,0.0,cluster_8,0.9343701601028442,0.23975057899951935,5.198555946350098,2021-11-07 00:00:00,2021-11-08 00:00:00
teresaj19476991,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,69,0,6,0,1,Teresa Jane,1,1,3,2,5,2,0.0,cluster_8,0.6755223870277405,0.22068744897842407,7.431993007659912,2021-11-14 00:00:00,2021-11-15 00:00:00
twarmy22,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,12687,0,40041,158,104,Tj wilmore,1,1,3,2,5,2,0.0,cluster_8,0.9429799914360046,0.3610491156578064,4.9932861328125,2021-10-31 00:00:00,2021-11-01 00:00:00
av0da,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,8410,33,27944,1159,3227,Alex v0da,1,1,4,2,6,2,0.0,cluster_8,0.2276071459054947,0.11062417179346085,3.6024491786956787,2021-12-12 00:00:00,2021-12-13 00:00:00
1321hunt,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,6016,3,5327,139,101,Mike Hunt 1321,5,5,5,2,7,10,0.0,cluster_8,0.7461522459983826,0.19024521112442017,5.368833255767822,2021-11-29 00:00:00,2021-11-30 00:00:00
kavoor_iqbal,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,79,0,144,77,38,Iqbal kavoor,1,1,3,2,5,2,0.0,cluster_8,0.8223879933357239,0.2791341245174408,6.289837837219238,2021-10-31 00:00:00,2021-11-01 00:00:00
kohaku___049,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,18676,11,10753,498,1552,こはく,1,1,4,2,6,2,0.0,cluster_8,0.7117360830307007,0.14951924979686737,6.31186056137085,2021-11-14 00:00:00,2021-11-15 00:00:00
mee1107518,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,22635,2,4207,4952,3774,❀Mee✿,1,1,3,2,5,2,0.0,cluster_8,0.8585128784179688,0.4614240229129791,7.465412139892578,2021-12-12 00:00:00,2021-12-13 00:00:00
d_ginski,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,5872,3,18811,1035,170,Donny Ginski,1,1,4,2,6,2,0.0,cluster_8,0.933494508266449,0.28031498193740845,5.495807647705078,2021-12-05 00:00:00,2021-12-06 00:00:00
drexmeu,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,6354,0,3011,713,3504,Drexm,1,2,2,3,5,3,-0.33,cluster_8,0.8724650740623474,0.21772925555706024,6.005336761474609,2021-12-12 00:00:00,2021-12-13 00:00:00
wisercharlie,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,2240,24,15146,830,1368,Charlie Wiser,1,1,5,2,7,2,0.0,cluster_8,0.6143736243247986,0.16366609930992126,5.118747234344482,2021-11-07 00:00:00,2021-11-08 00:00:00
irada_pj,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,4426,0,3587,894,143,Irada_PJ01,2,2,6,3,9,4,0.0,cluster_8,0.8587868809700012,0.31175458431243896,5.787898302078247,2021-12-05 00:00:00,2021-12-06 00:00:00
shuajota,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,3725,10,5695,236,2090,Shuajota,1,4,2,5,7,5,-0.6,cluster_8,0.7685244083404541,0.14889603853225708,6.264550685882568,2021-11-07 00:00:00,2021-11-08 00:00:00
adeho31976,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,11,0,0,10,0,adeho31976,1,1,4,2,6,2,0.0,cluster_8,0.5696738362312317,0.27708199620246887,5.703526020050049,2021-12-05 00:00:00,2021-12-06 00:00:00
engelbertgm1,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,1681,0,2615,1170,159,Engelbert G.M,1,1,3,2,5,2,0.0,cluster_8,0.48151695728302,0.18595276772975922,9.140823364257812,2021-11-14 00:00:00,2021-11-15 00:00:00
doge_found,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,DOGE,696,0,63,44,9,Star,3,3,5,2,7,6,0.0,cluster_8,0.39282506704330444,0.25072797884543735,7.324138243993123,2021-12-12 00:00:00,2021-12-13 00:00:00
mdalip13,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,1757,1,647,646,10,MdAlip,3,3,6,3,9,6,0.0,cluster_8,0.7900819977124532,0.2176784078280131,5.943914572397868,2021-11-29 00:00:00,2021-11-30 00:00:00
king12_football,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,21136,0,27376,836,188,FootballKing12,1,1,4,2,6,2,0.0,cluster_8,0.9872615337371826,0.24123996496200562,4.52444314956665,2021-12-21 00:00:00,2021-12-22 00:00:00
omerovic31,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,52,0,215,100,11,Ömer,1,1,3,2,5,2,0.0,cluster_8,0.1844896376132965,0.34155088663101196,7.935059547424316,2021-11-07 00:00:00,2021-11-08 00:00:00
raincatcher2x,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,0,0,0,0,0,☔️ RainCatcher🌸 💸$5.99 OF😘✨,1,3,2,4,6,4,-0.5,cluster_8,0.9867478013038635,0.27107149362564087,5.588502883911133,2021-11-14 00:00:00,2021-11-15 00:00:00
hl10pm,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,293190,685,275135,4313,2472,Paul Myles,1,1,4,2,6,2,0.0,cluster_8,0.5090878009796143,0.20567446947097778,9.887064933776855,2021-11-29 00:00:00,2021-11-30 00:00:00
ffahpss,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,43031,1,471,254,186,fagi,1,1,3,2,5,2,0.0,cluster_8,0.8618566393852234,0.1907424032688141,6.384173393249512,2021-12-21 00:00:00,2021-12-22 00:00:00
_thelovelylexc,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,14336,381,508,34539,35902,TheLovelyLexc Promo Page 🌺,5,5,9,2,11,10,0.0,cluster_8,0.7452488541603088,0.204861581325531,5.486612606048584,2021-12-21 00:00:00,2021-12-22 00:00:00
mariana19000915,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,5,0,25,99,1,M Valentim,1,1,3,2,5,2,0.0,cluster_8,0.05349058657884598,0.17757047712802887,10.791319847106934,2021-11-14 00:00:00,2021-11-15 00:00:00
jaels3in1,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,11563,10,80591,4375,553,Jael,1,1,4,3,7,2,0.0,cluster_8,0.3456674814224243,0.24552984535694122,7.113553047180176,2021-11-07 00:00:00,2021-11-08 00:00:00
u5uojtqp1ajpo83,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,498,0,5,500,20,396（みくろ）,1,1,3,2,5,2,0.0,cluster_8,0.8908215165138245,0.38619354367256165,7.017815113067627,2021-10-31 00:00:00,2021-11-01 00:00:00
urlovekeun,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,40357,1,32569,1522,2593,mhyne,1,2,3,3,6,3,-0.33,cluster_8,0.6091012954711914,0.1296602338552475,4.836798667907715,2021-12-12 00:00:00,2021-12-13 00:00:00
adhir_56,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,387,1,287,98,29,Adhir,1,1,4,3,7,2,0.0,cluster_8,0.6999157667160034,0.1827634871006012,3.3568952083587646,2021-11-07 00:00:00,2021-11-08 00:00:00
leethegoddess_,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,5956,145,102776,560,41225,Juni Lee 😈🍈,3,3,4,2,6,6,0.0,cluster_8,0.8957224488258362,0.21788905560970306,5.816017786661784,2021-11-14 00:00:00,2021-11-15 00:00:00
shawneilliams,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,3740,0,149,851,78,Mr. Slanger🍆,3,3,4,2,6,6,0.0,cluster_8,0.7394096453984579,0.17337017754713693,6.292875289916992,2021-11-07 00:00:00,2021-11-08 00:00:00
marcus3xboss,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,126,0,288,277,37,Marcus,1,1,4,2,6,2,0.0,cluster_8,0.5979137420654297,0.13489983975887299,5.1522722244262695,2021-12-26 00:00:00,2021-12-27 00:00:00
