id,friends_count,favourites_count,name,followers_count,listed_count,twitter_query,statuses_count,original_dataset,cluster
iamparul___,0,0,Pãrul★♡࿐,0,0,DOGE,0,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
javijmarquez100,0,0,Javi Marquez,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mbat,0,0,mbat,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
msnicole329,0,0,🌼 Dee Plorable 👩‍💻,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
neverfinland,0,0,Founder of 10.000BTC Foundation,0,0,BTC,0,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
poopah73,0,0,Lizzie Borden 🇬🇧🙂,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
portlandmsoc,0,0,Portland Pilots Men's Soccer,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
rubensher2003,0,0,Ruben Hernandez 🔴,0,0,SHIB,0,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
bafscoin,1666,1117,bafscoin,10,2,SHIB,1182,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
chris__oj,4558,167382,uglyboy_OJ,7474,25,SHIB,141523,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
farhana1177,0,0,Farhana1177,0,0,ETH,0,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
goka,0,0,Goka,0,0,DOGE,0,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
howielongggg,874,22494,Not Howie,4876,61,SHIB,11376,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
kingcry25163772,0,0,Mr. Moonshot,0,0,ETH,0,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
ltlfest,0,0,LouderThanLife,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mazleyden,0,0,Maz Leyden,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
njmsjmdctonce_,0,0,TOL UNSEALED/rt📌,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
olumidesadams,0,0,Lumzy,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
rejaul01429506,0,0,Megla akter,0,0,SHIB,0,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
sharptoken,0,0,Sharp Token,0,0,SHIB,0,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
tomtaylormade,0,0,Tom Taylor,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
weefnomel,0,0,퓨,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
ysrkoo,463,22017,connect: ♡,40,0,SOL,8699,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
arri01334768,0,0,Arri,0,0,SHIB,0,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
btsportufc,0,0,UFC on BT Sport,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
darkandsuga,0,0,mae ♡ yours by jin,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
georgi_bordei,280,62049,Georgiii❤️,169,0,SOL,18912,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
giasemidinou,0,0,Γιασεμη ΝΤΙΝΟΥ,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
