id,friends_count,favourites_count,name,followers_count,listed_count,twitter_query,statuses_count,original_dataset,cluster
adam070514,0,0,Adam,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
alonsobbc6,0,0,Alonsobbc,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
anyotherguyy,0,0,Caleb,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
asimelaq,0,0,TC Aslı,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
dinobat2020,0,0,Solar Rangers!!!!,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
hellatica,0,0,OmeletteThief,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
hibiki0221,0,0,大槻ひびき♡11/13カレンダー発売イベント/秋葉原,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
itzfeelinqx,0,0,Itzfeelinqx,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mehak_official,0,0,Mehak Ali,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mrokspok,0,0,The Mrokspok,0,0,ETH2,0,ETH2_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
narcis_music,0,0,Narcis Iustin Ianau,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
papoutroll,0,0,Papou,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
