date,src,dst,cluster_src,mes_sent,mes_received,mes_total,contr_index,sentiment_avg,emoti_avg,compl_avg,neighbours,cluster_dst,cluster_equal,neighbours_!cluster,neighbours_cluster
2021-11-14,[twitter_query=sol],jemuda1,C7,2,2,4,0.0,,,,7750,C7,True,452,7298
2021-12-26,ahaoldu,avalaunchapp,C7,1,0,1,1.0,0.3915240168571472,0.1257832050323486,8.996247291564941,4,C7,True,0,4
2021-12-26,kobi_32768_vrc,crysisjake,C0,0,1,1,-1.0,,,,1,C0,True,0,1
2021-11-07,yressim,mitchayyyyyyyyy,C6,0,1,1,-1.0,,,,8,C0,False,2,6
2021-12-12,guetrixi,cryptoobeast,C7,1,0,1,1.0,0.6897668242454529,0.185584545135498,2.949687957763672,8,C7,True,0,8
2021-12-05,cvpenha,joopdrok1,C9,0,1,1,-1.0,,,,8,C9,True,4,4
2021-12-12,jeamwincityx,blockx_ai,C2,1,0,1,1.0,,,,2,C7,False,1,1
2021-11-07,rickmortydoxxed,jdgraffixx,C7,0,1,1,-1.0,,,,7,C0,False,2,5
2021-10-31,thecryptobobo,mongkols16,C2,0,1,1,-1.0,,,,3,C2,True,0,3
2021-12-26,[twitter_query=sol],isaac__am,C7,1,1,2,0.0,,,,7750,C0,False,452,7298
2021-11-07,nebiliyimservet,phemex_official,C7,1,0,1,1.0,0.9637957215309144,0.3714898824691772,7.23242712020874,1,C7,True,0,1
2021-12-26,gabriel22ionut,marasescuandre3,C4,0,1,1,-1.0,,,,12,C4,True,6,6
2021-12-20,ashwsbreal,0418robert,C7,0,3,3,-1.0,,,,295,C7,True,0,295
2021-11-14,fmsol915,martinsperati,C9,0,1,1,-1.0,,,,3,C9,True,0,3
2021-12-21,diamondhandgems,owaves027,C0,0,1,1,-1.0,,,,3,C0,True,0,3
2021-12-06,basedwalrusnft,shitamysays_,C4,0,1,1,-1.0,,,,22,C4,True,11,11
2021-11-14,ceobillionaire,sothebysverse,C2,1,0,1,1.0,,,,1,C2,True,0,1
2021-12-26,botosani,veve_official,C7,2,0,2,1.0,0.6991369724273682,0.3337291926145553,9.421072483062744,4,C7,True,0,4
2021-11-28,kaind90,himacoin,C7,1,0,1,1.0,0.8635370135307312,0.2701641619205475,9.864283561706545,6,C7,True,0,6
2021-12-26,shashki,gavingeddes7,C0,1,1,2,0.0,0.8865252137184143,0.2041407227516174,5.050300121307373,1,C0,True,0,1
2021-10-31,okposineno,lrdraphy,C0,0,1,1,-1.0,,,,2,C7,False,1,1
2021-12-20,ashwsbreal,sanaluckyhuhu,C7,0,1,1,-1.0,,,,295,C7,True,0,295
2021-11-28,emergent_btc,adelgary,C2,1,1,2,0.0,,,,47,C2,True,22,25
2021-11-28,doctergore,shib_nobi,C7,19,0,19,1.0,0.6338517171771902,0.1430643628302373,8.215479599802118,14,C7,True,0,14
2021-12-12,winx_cityx,carsonyur,C7,1,0,1,1.0,0.8521013855934143,0.157807856798172,5.696066379547119,2,C7,True,0,2
2021-12-26,mojo_crypto_btc,mahan122175351,C2,0,2,2,-1.0,,,,13,C2,True,6,7
2021-12-13,smilecishlo,ellesaybonk,C2,0,1,1,-1.0,,,,2,C2,True,0,2
2021-10-31,cryptoastblog,rcryptoast,C7,0,1,1,-1.0,,,,6,C7,True,0,6
2021-11-29,shadagod420,josebernal66,C0,1,0,1,1.0,0.5033358335494995,0.2213369309902191,5.201340675354004,3,C7,False,1,2
2021-11-14,jakestakes,reesescrush,C0,0,1,1,-1.0,,,,2,C0,True,0,2
2021-11-07,mdutkan,solanambs,C7,1,0,1,1.0,0.741611123085022,0.2410536557435989,5.323862075805664,16,C7,True,0,16
2021-10-31,asensio30853213,saitamainu7,C7,1,0,1,1.0,0.2921175360679626,0.087206095457077,6.290210723876953,5,C7,True,0,5
2021-12-12,[twitter_query=sol],mego82691,C7,2,2,4,0.0,,,,7750,C7,True,452,7298
2021-12-21,larissanovelas,tvehumor9,C3,0,1,1,-1.0,,,,1,C3,True,0,1
2021-12-21,tinyflowerboo,cashoutchloe1,C8,1,0,1,1.0,0.7810434103012085,0.3228050172328949,5.89988899230957,3,C8,True,0,3
2021-10-31,asnfaderopo,ibiwunmi001,C5,0,1,1,-1.0,,,,5,C5,True,2,3
2021-12-26,baris_sma,gull12g,C7,0,4,4,-1.0,,,,37,C2,False,2,35
2021-10-31,doidine_,itsanapaulaaa,C9,0,1,1,-1.0,,,,4,C9,True,2,2
2021-11-07,dkdigitally,labanibiswas19,C7,0,1,1,-1.0,,,,2,C7,True,0,2
2021-11-07,solninja_go,tonylyon7,C7,0,1,1,-1.0,,,,5,C7,True,0,5
2021-11-14,mooigirlz,siswet,C6,1,0,1,1.0,0.7943021655082703,0.3902575969696045,6.093777179718018,6,C6,True,0,6
2021-11-07,buy_zen,[twitter_query=sol],C7,1,1,2,0.0,0.3431039452552795,0.2891176342964172,5.237975597381592,1,C7,True,0,1
2021-12-05,serkanarikan06,campinleonore,C7,0,1,1,-1.0,,,,206,C7,True,4,202
2021-12-12,erorrunknown,parkerjaysmith,C7,1,0,1,1.0,0.9703925848007202,0.237661063671112,4.758362770080566,2,C7,True,0,2
2021-11-14,heirmaxsnkrs,amen_moses,C7,0,1,1,-1.0,,,,143,C7,True,14,129
2021-12-05,bheegodwin,ekayberry,C0,1,0,1,1.0,0.9608005881309508,0.2929186522960663,5.378403663635254,6,C5,False,3,3
2021-11-14,jwootyx,pupfilthy,C7,1,0,1,1.0,0.8006724715232849,0.3040417432785034,5.877072811126709,4,C7,True,0,4
2021-11-14,realakamaruinu,shinichijawir,C7,0,1,1,-1.0,,,,509,C7,True,1,508
2021-11-28,shibarocketmoon,andrea454351221,C7,1,0,1,1.0,0.9244999289512634,0.2691769301891327,7.444188117980957,13,C7,True,0,13
2021-11-07,veysel75651600,guideturkiye,C7,1,0,1,1.0,0.6456560492515564,0.148896038532257,6.264550685882568,4,C7,True,2,2
2021-12-26,pabloes11412308,lepoint,C0,1,0,1,1.0,0.490125834941864,0.2983959913253784,9.199030876159668,1,C0,True,0,1
2021-12-20,ashwsbreal,bitcryptowski,C7,0,1,1,-1.0,,,,295,C7,True,0,295
2021-10-31,me_rams,watcherguru,C7,1,0,1,1.0,0.633434534072876,0.3245297372341156,4.431441783905029,1,C7,True,0,1
2021-12-05,alvaro_medinas,juanjorengel,C3,0,1,1,-1.0,,,,4,C9,False,2,2
2021-11-14,miyabigwin,stakdtoken,C7,1,0,1,1.0,0.5175224542617798,0.0350448712706565,2.445561408996582,2,C7,True,0,2
2021-11-14,son_of_kradus,lotjada,C0,1,0,1,1.0,0.0043126670643687,0.2823684215545654,4.930415630340576,4,C7,False,2,2
2021-12-21,[twitter_query=sol],festuquet,C7,1,1,2,0.0,,,,7750,C7,True,452,7298
2021-10-31,bitbookkeepers,encripted13,C7,0,1,1,-1.0,,,,1,C7,True,0,1
2021-12-05,alir3za_sol,nvd00m,C7,1,1,2,0.0,0.6456560492515564,0.148896038532257,6.264550685882568,5,C7,True,0,5
2021-11-07,dayanemellofc,amalohan93,C0,1,0,1,1.0,0.5365208387374878,0.2735747098922729,6.942619800567627,2,C0,True,0,2
2021-11-14,mahdiebrahimiz,fardinehsani,C2,1,0,1,1.0,,,,1,C2,True,0,1
2021-12-21,llucky_21,[twitter_query=sol],C7,2,2,4,0.0,0.8083643913269043,0.21896593272686,5.650641679763794,3,C7,True,0,3
2021-11-14,ateizm_dernegi,birgaribb_,C9,0,1,1,-1.0,,,,4,C3,False,2,2
2021-12-12,shib_nobi,sofiysabl,C7,0,2,2,-1.0,,,,242,C7,True,10,232
2021-12-05,babydogecoin,slashaxl007,C7,0,1,1,-1.0,,,,1852,C7,True,12,1840
2021-12-05,hasan252567,babydogecoin,C7,1,0,1,1.0,0.6553332209587097,0.152227833867073,5.808291912078857,2,C7,True,0,2
2021-11-29,itsweshy,b_ogembo,C8,0,1,1,-1.0,,,,2,C8,True,0,2
2021-11-29,basedfrg,kaleidospoke1,C7,0,1,1,-1.0,,,,4,C2,False,2,2
